Sample Name	H2O [N/cm^3]	Processed Delta 2H	Processed Delta 2H StDev	Processed Delta 18O	Processed Delta 18O StDev	Processed Delta 17O	Processed Delta 17O StDev	L1 Narrow Band Metric	L1 Broad Band Metric	Averaged #
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	3.110230E+16	-61.177150	5.290824E-1	-8.507436	8.642256E-2	-5.020975	4.129567E-2	4.80786500	1.00042646	4
Sammelprobe	3.115547E+16	1.862910	4.368548E-1	7.937527	6.482192E-2	4.233596	5.154022E-2	4.65298750	1.00037562	4
50_1353	3.106765E+16	-55.523304	3.695964E-1	-6.732034	9.448926E-2	-3.734749	6.094440E-2	4.49061000	1.00039703	4
40_1423	3.110532E+16	-57.391616	8.512698E-1	-7.401952	4.703024E-2	-3.985056	6.426299E-2	4.58143750	1.00044921	4
50_1424	3.106242E+16	-53.778893	4.375284E-1	-6.102357	8.803852E-2	-3.183801	7.245210E-2	4.61052000	1.00040104	4
40_1453	3.107592E+16	-56.224329	7.337060E-1	-7.055157	7.221881E-2	-3.628640	4.152562E-2	4.41010500	1.00037562	4
50_1455	3.113132E+16	-51.564959	1.941860E-1	-5.509373	8.245783E-2	-2.555992	1.032790E-1	4.57458750	1.00035689	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.106737E+16	-175.851760	6.883493E-1	-22.636091	6.115237E-2	-11.729621	6.488857E-2	4.54390750	1.00029802	4
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	3.125732E+16	1.412720	9.655685E-1	7.921987	9.440146E-2	4.026040	4.216005E-2	4.43222000	1.00016159	4
Colle	3.129975E+16	-49.423699	7.042924E-1	-7.981314	2.267362E-2	-4.268315	3.969965E-2	4.28514750	1.00013217	4
VE	3.115802E+16	-60.735020	4.541792E-1	-8.506673	5.301818E-2	-4.525724	4.213267E-2	4.46787250	1.00008403	4
40_1521	3.109310E+16	-55.892381	4.904719E-1	-6.610198	7.018078E-2	-3.532956	1.433345E-2	4.44848500	0.99994766	4
50_1522	3.112935E+16	-50.070568	6.896390E-1	-4.534676	6.795988E-2	-2.382187	7.469544E-2	4.58730250	0.99984340	4
40_1552	3.122445E+16	-54.638973	3.000463E-1	-6.207344	1.286809E-1	-3.320972	5.071056E-2	4.52387250	0.99980865	4
50_1553	3.131462E+16	-47.300810	5.137012E-1	-3.737214	8.066603E-2	-2.014178	6.947152E-2	4.74838250	0.99977123	4
Colle	3.122690E+16	-48.341787	9.454567E-1	-7.947936	1.210354E-1	-4.237699	1.093927E-1	4.28780750	0.99978860	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.118937E+16	-175.918213	1.693873E-1	-22.650252	4.824862E-2	-12.014743	6.985673E-2	4.77753750	0.99962292	4
VE	3.129940E+16	-62.017000	0.000000E+0	-8.543812	0.000000E+0	-4.557557	0.000000E+0	4.50685000	0.99972313	1
VE	3.121397E+16	-61.506517	7.046327E-1	-8.677423	4.404868E-2	-4.564258	6.996817E-2	4.43611250	0.99930908	4
Sammelprobe	3.116000E+16	1.430310	3.811229E-1	7.919200	1.301465E-1	4.025704	5.081855E-2	4.53281250	0.99904079	4
VE	3.121067E+16	-59.807631	1.040390E+0	-8.355158	1.259454E-1	-4.493443	8.259134E-2	4.72363750	0.99903012	4
VE	3.118507E+16	-60.296162	3.204567E-1	-8.391619	6.419068E-2	-4.523003	4.357032E-2	4.77279875	0.99895340	8
VE	3.117400E+16	-60.540241	4.799986E-1	-8.454427	7.148519E-2	-4.494730	4.306788E-2	4.54158375	0.99938184	8
VE	3.123826E+16	-60.551625	8.129945E-1	-8.487581	9.652792E-2	-4.530330	6.524493E-2	4.44801375	0.99944795	8
VE	3.122674E+16	-60.661870	1.235916E+0	-8.532238	1.078529E-1	-4.547298	8.023593E-2	4.60383857	0.99941017	7
VE	3.119691E+16	-60.425814	9.468227E-1	-8.429392	9.923868E-2	-4.535462	5.986343E-2	4.49437286	0.99929115	7
VE	3.120146E+16	-60.052346	1.155026E+0	-8.423583	1.039356E-1	-4.464380	7.052768E-2	4.59352250	0.99927904	8
VE	3.122039E+16	-60.887577	8.444034E-1	-8.503443	7.789632E-2	-4.529515	4.490239E-2	4.65480250	0.99931709	8
VE	3.121516E+16	-60.630583	3.440862E-1	-8.502851	5.645502E-2	-4.554221	5.283677E-2	4.67841000	0.99932910	8
VE	3.124256E+16	-60.603513	8.980440E-1	-8.473865	7.769457E-2	-4.559217	5.086639E-2	4.56931714	0.99922097	7
VE	3.159436E+16	-60.668246	6.398197E-1	-8.448365	7.728662E-2	-4.520746	7.591856E-2	4.54342250	0.99921897	8
VE	3.176931E+16	-60.192820	9.936045E-1	-8.490657	7.239594E-2	-4.489951	4.427979E-2	4.54918250	0.99922497	8
VE	3.177271E+16	-60.851166	8.433425E-1	-8.501818	1.166942E-1	-4.534860	8.390968E-2	4.54994250	0.99912153	8
VE	3.178267E+16	-60.463904	5.958676E-1	-8.463050	8.446259E-2	-4.562126	6.573306E-2	4.39507625	0.99907349	8
VE	3.180525E+16	-60.545000	3.914807E-1	-8.476000	5.850171E-2	-4.527000	7.721416E-2	4.62380500	0.99901945	4
