   496,0
   646,0       0,035736
   648,0       0,062552
   650,0       0,015002
   652,0       0,027386
   654,0       0,059824
   656,0       0,006303
   658,0       0,005856
   660,0       0,126610
   662,0       0,081998
   664,0       0,061115
   666,0       0,009650
   668,0       0,015773
   670,0       0,015204
   672,0       0,029006
   674,0       0,017119
   676,0       0,123939
   678,0       0,035535
   680,0       0,034542
   682,0       0,083322
   684,0       0,052799
   686,0       0,064296
   688,0       0,005636
   690,0       0,062315
   692,0       0,057241
   694,0       0,049313
   696,0       0,032941
   698,0       0,028339
   700,0       0,011536
   702,0       0,002715
   704,0       0,015063
   706,0       0,045641
   708,0       0,021661
   710,0       0,001888
   712,0       0,024158
   714,0       0,016290
   716,0       0,012433
   718,0       0,044146
   720,0       0,066508
   722,0       0,018431
   724,0       0,094392
   726,0       0,010020
   728,0       0,036021
   730,0       0,035060
   732,0       0,006176
   734,0       0,026064
   736,0       0,002215
   738,0       0,142889
   740,0       0,010487
   742,0       0,011682
   744,0       0,052882
   746,0       0,027186
   748,0       0,048050
   750,0       0,032272
   752,0       0,039562
   754,0       0,060399
   756,0       0,031760
   758,0       0,022621
   760,0       0,070268
   762,0       0,016531
   764,0       0,009513
   766,0       0,049956
   768,0       0,026668
   770,0       0,011535
   772,0       0,008000
   774,0       0,086164
   776,0       0,034174
   778,0       0,170320
   780,0       0,008357
   782,0       0,035688
   784,0       0,005804
   786,0       0,020459
   788,0       0,022794
   790,0       0,001912
   792,0       0,058928
   794,0       0,094750
   796,0       0,024646
   798,0       0,027255
   800,0       0,095370
   802,0       0,020258
   804,0       0,041196
   806,0       0,004669
   808,0       0,061739
   810,0       0,017502
   812,0       0,067247
   814,0       0,002446
   816,0       0,004356
   818,0       0,043267
   820,0       0,016634
   822,0       0,049572
   824,0       0,021426
   826,0       0,061488
   828,0       0,028608
   830,0       0,001810
   832,0       0,009809
   834,0       0,046231
   836,0       0,021887
   838,0       0,009422
   840,0       0,065258
   842,0       0,056818
   844,0       0,026524
   846,0       0,022359
   848,0       0,059653
   850,0       0,026973
   852,0       0,062359
   854,0       0,079770
   856,0       0,001639
   858,0       0,004635
   860,0       0,026762
   862,0       0,014730
   864,0       0,049254
   866,0       0,020754
   868,0       0,027129
   870,0       0,018265
   872,0       0,025076
   874,0       0,022968
   876,0       0,002921
   878,0       0,025755
   880,0       0,073263
   882,0       0,030497
   884,0       0,031208
   886,0       0,022563
   888,0       0,011443
   890,0       0,011164
   892,0       0,050572
   894,0       0,056000
   896,0       0,005129
   898,0       0,117705
   900,0       0,014606
   902,0       0,005069
   904,0       0,094644
   906,0       0,036603
   908,0       0,092922
   910,0       0,035091
   912,0       0,023880
   914,0       0,034871
   916,0       0,084589
   918,0       0,092259
   920,0       0,008619
   922,0       0,072866
   924,0       0,002760
   926,0       0,002909
   928,0       0,075891
   930,0       0,094178
   932,0       0,028624
   934,0       0,004400
   936,0       0,028953
   938,0       0,004258
   940,0       0,005387
   942,0       0,005433
   944,0       0,089973
   946,0       0,044585
   948,0       0,050480
   950,0       0,025686
   952,0       0,003060
   954,0       0,129142
   956,0       0,001894
   958,0       0,018046
   960,0       0,017857
   962,0       0,001971
   964,0       0,012622
   966,0       0,007812
   968,0       0,029336
   970,0       0,030893
   972,0       0,018842
   974,0       0,128917
   976,0       0,027817
   978,0       0,031692
   980,0       0,057615
   982,0       0,070984
   984,0       0,025761
   986,0       0,008449
   988,0       0,022928
   990,0       0,005635
   992,0       0,002278
   994,0       0,059248
   996,0       0,026633
   998,0       0,044447
