   496,0
   646,0       0,086284
   648,0       0,031225
   650,0       0,086099
   652,0       0,179465
   654,0       0,020395
   656,0       0,021880
   658,0       0,056967
   660,0       0,066655
   662,0       0,039495
   664,0       0,052814
   666,0       0,064993
   668,0       0,057925
   670,0       0,085185
   672,0       0,012331
   674,0       0,112953
   676,0       0,016592
   678,0       0,016217
   680,0       0,149638
   682,0       0,056926
   684,0       0,019956
   686,0       0,007484
   688,0       0,033443
   690,0       0,031937
   692,0       0,058212
   694,0       0,033278
   696,0       0,060661
   698,0       0,070120
   700,0       0,005517
   702,0       0,033610
   704,0       0,019778
   706,0       0,048674
   708,0       0,038773
   710,0       0,024760
   712,0       0,019896
   714,0       0,002826
   716,0       0,033288
   718,0       0,039207
   720,0       0,034776
   722,0       0,016709
   724,0       0,049014
   726,0       0,140064
   728,0       0,036080
   730,0       0,049282
   732,0       0,146192
   734,0       0,001503
   736,0       0,063010
   738,0       0,036590
   740,0       0,035740
   742,0       0,036239
   744,0       0,002872
   746,0       0,030171
   748,0       0,113807
   750,0       0,002010
   752,0       0,007405
   754,0       0,011631
   756,0       0,034112
   758,0       0,015641
   760,0       0,000019
   762,0       0,031805
   764,0       0,031757
   766,0       0,072044
   768,0       0,010296
   770,0       0,027695
   772,0       0,024592
   774,0       0,027358
   776,0       0,016219
   778,0       0,035459
   780,0       0,006981
   782,0       0,008139
   784,0       0,047774
   786,0       0,078607
   788,0       0,014275
   790,0       0,053029
   792,0       0,057436
   794,0       0,024720
   796,0       0,018860
   798,0       0,014621
   800,0       0,001467
   802,0       0,149848
   804,0       0,004507
   806,0       0,074758
   808,0       0,019431
   810,0       0,002791
   812,0       0,003662
   814,0       0,051990
   816,0       0,085985
   818,0       0,048350
   820,0       0,032200
   822,0       0,051365
   824,0       0,003319
   826,0       0,044680
   828,0       0,026762
   830,0       0,017533
   832,0       0,020215
   834,0       0,051956
   836,0       0,017008
   838,0       0,036539
   840,0       0,020258
   842,0       0,017776
   844,0       0,003499
   846,0       0,005175
   848,0       0,113917
   850,0       0,054182
   852,0       0,051369
   854,0       0,085322
   856,0       0,017028
   858,0       0,019136
   860,0       0,002159
   862,0       0,019496
   864,0       0,029517
   866,0       0,121798
   868,0       0,079950
   870,0       0,002842
   872,0       0,003117
   874,0       0,012879
   876,0       0,007790
   878,0       0,097037
   880,0       0,022866
   882,0       0,002012
   884,0       0,038722
   886,0       0,044260
   888,0       0,063898
   890,0       0,006433
   892,0       0,042259
   894,0       0,009778
   896,0       0,003341
   898,0       0,049851
   900,0       0,006427
   902,0       0,007440
   904,0       0,004110
   906,0       0,016073
   908,0       0,022998
   910,0       0,094134
   912,0       0,005852
   914,0       0,133673
   916,0       0,022449
   918,0       0,015986
   920,0       0,010104
   922,0       0,040864
   924,0       0,000582
   926,0       0,021688
   928,0       0,078867
   930,0       0,068801
   932,0       0,002175
   934,0       0,016991
   936,0       0,039067
   938,0       0,016670
   940,0       0,002085
   942,0       0,007575
   944,0       0,060224
   946,0       0,001044
   948,0       0,001632
   950,0       0,026611
   952,0       0,027955
   954,0       0,003017
   956,0       0,002643
   958,0       0,054312
   960,0       0,037479
   962,0       0,115640
   964,0       0,003942
   966,0       0,021758
   968,0       0,056114
   970,0       0,010519
   972,0       0,021712
   974,0       0,022829
   976,0       0,002558
   978,0       0,047479
   980,0       0,028090
   982,0       0,007429
   984,0       0,016076
   986,0       0,052588
   988,0       0,006526
   990,0       0,021823
   992,0       0,092463
   994,0       0,027058
   996,0       0,007460
   998,0       0,002471
