Record Length	2500	Points	2,173	1,32		Record Length	2500	Points	2,173	0		Record Length	2500	Points	2,173	1,94		Record Length	2500	Points	2,173	32	
Sample Interval	0,0001	s	2,1731	1,28		Sample Interval	0,0001	s	2,1731	0,012		Sample Interval	0,0001	s	2,1731	1,94		Sample Interval	0,0001	s	2,1731	32,8	
Trigger Point	-21730,001522	Samples	2,1732	1,32		Trigger Point	-21730,001522	Samples	2,1732	0,004		Trigger Point	-21730,001522	Samples	2,1732	1,94		Trigger Point	-21730,001522	Samples	2,1732	32,8	
			2,1733	1,32					2,1733	0,008					2,1733	1,94					2,1733	32	
			2,1734	1,32					2,1734	0,004					2,1734	1,92					2,1734	32,8	
			2,1735	1,32					2,1735	0					2,1735	1,92					2,1735	33,6	
Source	CH1		2,1736	1,32		Source	CH2		2,1736	0,004		Source	CH3		2,1736	1,94		Source	CH4		2,1736	32,8	
Vertical Units	Volts		2,1737	1,28		Vertical Units	Volts		2,1737	0,004		Vertical Units	Volts		2,1737	1,94		Vertical Units	Volts		2,1737	32,8	
Vertical Scale	1.000000		2,1738	1,32		Vertical Scale	100.0000047E-3		2,1738	0,004		Vertical Scale	499.999988824E-3		2,1738	1,92		Vertical Scale	20.0000003		2,1738	32,8	
Vertical Offset	0		2,1739	1,32		Vertical Offset	0		2,1739	0,008		Vertical Offset	0		2,1739	1,92		Vertical Offset	0		2,1739	32,8	
Horizontal Units	s		2,174	1,32		Horizontal Units	s		2,174	0		Horizontal Units	s		2,174	1,92		Horizontal Units	s		2,174	32,8	
Horizontal Scale	24.99999937E-3		2,1741	1,32		Horizontal Scale	24.99999937E-3		2,1741	0		Horizontal Scale	24.99999937E-3		2,1741	1,94		Horizontal Scale	24.99999937E-3		2,1741	33,6	
Pt Fmt	Y		2,1742	1,28		Pt Fmt	Y		2,1742	0		Pt Fmt	Y		2,1742	1,92		Pt Fmt	Y		2,1742	32,8	
Yzero	-40.00000000E-3		2,1743	1,32		Yzero	-3.76000000		2,1743	0		Yzero	-2.6800000		2,1743	1,92		Yzero	880.000000000E-3		2,1743	32,8	
Probe Atten	10,000000		2,1744	1,28		Probe Atten	10,000000		2,1744	0,008		Probe Atten	10,000000		2,1744	1,92		Probe Atten	10,000000		2,1744	32,8	
			2,1745	1,28					2,1745	0,004					2,1745	1,92					2,1745	33,6	
Note	TBS 1104 - 1:48:27 PM   8/14/2018		2,1746	1,32		Note	TBS 1104 - 1:48:27 PM   8/14/2018		2,1746	0,008		Note	TBS 1104 - 1:48:27 PM   8/14/2018		2,1746	1,9		Note	TBS 1104 - 1:48:27 PM   8/14/2018		2,1746	33,6	
			2,1747	1,32					2,1747	0					2,1747	1,92					2,1747	33,6	
			2,1748	1,28					2,1748	0,012					2,1748	1,92					2,1748	33,6	
			2,1749	1,28					2,1749	0,008					2,1749	1,92					2,1749	33,6	
			2,175	1,28					2,175	0,004					2,175	1,9					2,175	32,8	
			2,1751	1,28					2,1751	0					2,1751	1,92					2,1751	33,6	
			2,1752	1,28					2,1752	0					2,1752	1,92					2,1752	34,4	
			2,1753	1,28					2,1753	0,004					2,1753	1,92					2,1753	34,4	
			2,1754	1,28					2,1754	0					2,1754	1,9					2,1754	33,6	
			2,1755	1,28					2,1755	0,012					2,1755	1,92					2,1755	34,4	
			2,1756	1,28					2,1756	0,008					2,1756	1,9					2,1756	33,6	
			2,1757	1,28					2,1757	0,008					2,1757	1,9					2,1757	34,4	
			2,1758	1,28					2,1758	0,004					2,1758	1,9					2,1758	33,6	
			2,1759	1,28					2,1759	0,008					2,1759	1,9					2,1759	34,4	
			2,176	1,28					2,176	0,012					2,176	1,9					2,176	34,4	
			2,1761	1,28					2,1761	0,004					2,1761	1,88					2,1761	34,4	
			2,1762	1,24					2,1762	0,008					2,1762	1,9					2,1762	34,4	
			2,1763	1,28					2,1763	0,004					2,1763	1,9					2,1763	34,4	
			2,1764	1,28					2,1764	-0,008					2,1764	1,9					2,1764	34,4	
			2,1765	1,28					2,1765	0					2,1765	1,9					2,1765	34,4	
			2,1766	1,28					2,1766	0,004					2,1766	1,9					2,1766	34,4	
			2,1767	1,24					2,1767	0					2,1767	1,9					2,1767	35,2	
			2,1768	1,28					2,1768	0,012					2,1768	1,9					2,1768	35,2	
			2,1769	1,28					2,1769	0,008					2,1769	1,88					2,1769	35,2	
			2,177	1,28					2,177	0,008					2,177	1,88					2,177	34,4	
			2,1771	1,28					2,1771	0,012					2,1771	1,88					2,1771	35,2	
			2,1772	1,28					2,1772	0,004					2,1772	1,9					2,1772	36	
			2,1773	1,28					2,1773	0,004					2,1773	1,9					2,1773	35,2	
			2,1774	1,28					2,1774	0,008					2,1774	1,86					2,1774	35,2	
			2,1775	1,24					2,1775	0,004					2,1775	1,88					2,1775	35,2	
			2,1776	1,28					2,1776	0,004					2,1776	1,88					2,1776	36	
			2,1777	1,24					2,1777	0,012					2,1777	1,88					2,1777	36	
			2,1778	1,28					2,1778	0,004					2,1778	1,88					2,1778	36	
			2,1779	1,28					2,1779	-0,004					2,1779	1,88					2,1779	36	
			2,178	1,28					2,178	0,004					2,178	1,88					2,178	36	
			2,1781	1,28					2,1781	0,004					2,1781	1,88					2,1781	36	
			2,1782	1,28					2,1782	0					2,1782	1,88					2,1782	36	
			2,1783	1,24					2,1783	0,004					2,1783	1,88					2,1783	36	
			2,1784	1,28					2,1784	0,008					2,1784	1,88					2,1784	36	
			2,1785	1,28					2,1785	0					2,1785	1,86					2,1785	36	
			2,1786	1,2					2,1786	0,004					2,1786	1,88					2,1786	36,8	
			2,1787	1,28					2,1787	0,004					2,1787	1,86					2,1787	36,8	
			2,1788	1,24					2,1788	0					2,1788	1,88					2,1788	36	
			2,1789	1,24					2,1789	0,012					2,1789	1,88					2,1789	36	
			2,179	1,28					2,179	0,004					2,179	1,88					2,179	36,8	
			2,1791	1,28					2,1791	0,004					2,1791	1,86					2,1791	36,8	
			2,1792	1,24					2,1792	0					2,1792	1,86					2,1792	36,8	
			2,1793	1,28					2,1793	0,004					2,1793	1,88					2,1793	36,8	
			2,1794	1,28					2,1794	0,008					2,1794	1,86					2,1794	36	
			2,1795	1,28					2,1795	0,008					2,1795	1,86					2,1795	36,8	
			2,1796	1,24					2,1796	0					2,1796	1,86					2,1796	36,8	
			2,1797	1,24					2,1797	0					2,1797	1,84					2,1797	36,8	
			2,1798	1,24					2,1798	0,004					2,1798	1,86					2,1798	37,6	
			2,1799	1,24					2,1799	0					2,1799	1,86					2,1799	37,6	
			2,18	1,24					2,18	0,012					2,18	1,86					2,18	37,6	
			2,1801	1,2					2,1801	0					2,1801	1,86					2,1801	37,6	
			2,1802	1,24					2,1802	0,008					2,1802	1,86					2,1802	37,6	
			2,1803	1,24					2,1803	0,012					2,1803	1,86					2,1803	37,6	
			2,1804	1,24					2,1804	0,008					2,1804	1,84					2,1804	37,6	
			2,1805	1,2					2,1805	0,004					2,1805	1,86					2,1805	36,8	
			2,1806	1,2					2,1806	-0,004					2,1806	1,86					2,1806	37,6	
			2,1807	1,2					2,1807	0					2,1807	1,84					2,1807	37,6	
			2,1808	1,24					2,1808	0,004					2,1808	1,84					2,1808	37,6	
			2,1809	1,24					2,1809	0					2,1809	1,84					2,1809	38,4	
			2,181	1,24					2,181	0,012					2,181	1,82					2,181	37,6	
			2,1811	1,24					2,1811	0,004					2,1811	1,84					2,1811	38,4	
			2,1812	1,24					2,1812	0,004					2,1812	1,84					2,1812	37,6	
			2,1813	1,24					2,1813	0,008					2,1813	1,84					2,1813	38,4	
			2,1814	1,24					2,1814	0,012					2,1814	1,82					2,1814	37,6	
			2,1815	1,24					2,1815	0,004					2,1815	1,84					2,1815	38,4	
			2,1816	1,24					2,1816	0,008					2,1816	1,82					2,1816	38,4	
			2,1817	1,24					2,1817	0,004					2,1817	1,84					2,1817	38,4	
			2,1818	1,24					2,1818	0,004					2,1818	1,84					2,1818	38,4	
			2,1819	1,24					2,1819	0,004					2,1819	1,82					2,1819	38,4	
			2,182	1,2					2,182	0,012					2,182	1,84					2,182	38,4	
			2,1821	1,2					2,1821	0,012					2,1821	1,84					2,1821	39,2	
			2,1822	1,2					2,1822	0,004					2,1822	1,82					2,1822	38,4	
			2,1823	1,24					2,1823	0,004					2,1823	1,82					2,1823	39,2	
			2,1824	1,24					2,1824	0,008					2,1824	1,82					2,1824	39,2	
			2,1825	1,28					2,1825	0,008					2,1825	1,84					2,1825	38,4	
			2,1826	1,24					2,1826	0,004					2,1826	1,82					2,1826	39,2	
			2,1827	1,24					2,1827	0,008					2,1827	1,82					2,1827	39,2	
			2,1828	1,24					2,1828	0,004					2,1828	1,82					2,1828	39,2	
			2,1829	1,24					2,1829	0					2,1829	1,82					2,1829	39,2	
			2,183	1,2					2,183	0,004					2,183	1,82					2,183	39,2	
			2,1831	1,2					2,1831	0					2,1831	1,82					2,1831	39,2	
			2,1832	1,2					2,1832	0,008					2,1832	1,82					2,1832	39,2	
			2,1833	1,24					2,1833	0,008					2,1833	1,8					2,1833	39,2	
			2,1834	1,2					2,1834	0,004					2,1834	1,82					2,1834	39,2	
			2,1835	1,2					2,1835	0,008					2,1835	1,82					2,1835	39,2	
			2,1836	1,24					2,1836	0,004					2,1836	1,8					2,1836	40	
			2,1837	1,2					2,1837	-0,004					2,1837	1,8					2,1837	40	
			2,1838	1,2					2,1838	0,004					2,1838	1,8					2,1838	40	
			2,1839	1,2					2,1839	0,004					2,1839	1,78					2,1839	40	
			2,184	1,24					2,184	0,012					2,184	1,82					2,184	40	
			2,1841	1,2					2,1841	0,008					2,1841	1,8					2,1841	40	
			2,1842	1,2					2,1842	0,008					2,1842	1,8					2,1842	40	
			2,1843	1,2					2,1843	0,008					2,1843	1,8					2,1843	40	
			2,1844	1,2					2,1844	0,004					2,1844	1,8					2,1844	40,8	
			2,1845	1,2					2,1845	0,008					2,1845	1,82					2,1845	40	
			2,1846	1,2					2,1846	0,004					2,1846	1,8					2,1846	40,8	
			2,1847	1,2					2,1847	0					2,1847	1,8					2,1847	40,8	
			2,1848	1,2					2,1848	0,012					2,1848	1,78					2,1848	40	
			2,1849	1,2					2,1849	0,008					2,1849	1,8					2,1849	40	
			2,185	1,2					2,185	0,012					2,185	1,8					2,185	40,8	
			2,1851	1,2					2,1851	0,02					2,1851	1,8					2,1851	40,8	
			2,1852	1,2					2,1852	0,012					2,1852	1,82					2,1852	40,8	
			2,1853	1,2					2,1853	0,012					2,1853	1,78					2,1853	40,8	
			2,1854	1,2					2,1854	0,012					2,1854	1,78					2,1854	41,6	
			2,1855	1,2					2,1855	0,012					2,1855	1,8					2,1855	40,8	
			2,1856	1,2					2,1856	0,012					2,1856	1,78					2,1856	40,8	
			2,1857	1,2					2,1857	0,008					2,1857	1,78					2,1857	40,8	
			2,1858	1,2					2,1858	0,012					2,1858	1,78					2,1858	40,8	
			2,1859	1,2					2,1859	0,012					2,1859	1,78					2,1859	41,6	
			2,186	1,2					2,186	0,008					2,186	1,78					2,186	41,6	
			2,1861	1,2					2,1861	0,012					2,1861	1,78					2,1861	40,8	
			2,1862	1,2					2,1862	0,012					2,1862	1,78					2,1862	41,6	
			2,1863	1,2					2,1863	0,016					2,1863	1,78					2,1863	41,6	
			2,1864	1,2					2,1864	0,012					2,1864	1,78					2,1864	41,6	
			2,1865	1,2					2,1865	0,012					2,1865	1,8					2,1865	41,6	
			2,1866	1,2					2,1866	0,008					2,1866	1,78					2,1866	41,6	
			2,1867	1,2					2,1867	0,008					2,1867	1,78					2,1867	41,6	
			2,1868	1,2					2,1868	0,008					2,1868	1,78					2,1868	42,4	
			2,1869	1,2					2,1869	0,012					2,1869	1,78					2,1869	42,4	
			2,187	1,2					2,187	0,008					2,187	1,76					2,187	41,6	
			2,1871	1,2					2,1871	0,008					2,1871	1,78					2,1871	42,4	
			2,1872	1,2					2,1872	0,024					2,1872	1,78					2,1872	41,6	
			2,1873	1,2					2,1873	0,012					2,1873	1,78					2,1873	41,6	
			2,1874	1,2					2,1874	0,012					2,1874	1,76					2,1874	42,4	
			2,1875	1,2					2,1875	0,02					2,1875	1,76					2,1875	42,4	
			2,1876	1,2					2,1876	0,012					2,1876	1,78					2,1876	42,4	
			2,1877	1,2					2,1877	0,024					2,1877	1,76					2,1877	43,2	
			2,1878	1,2					2,1878	0,024					2,1878	1,78					2,1878	43,2	
			2,1879	1,2					2,1879	0,02					2,1879	1,76					2,1879	43,2	
			2,188	1,2					2,188	0,016					2,188	1,76					2,188	43,2	
			2,1881	1,16					2,1881	0,016					2,1881	1,76					2,1881	43,2	
			2,1882	1,2					2,1882	0,024					2,1882	1,76					2,1882	43,2	
			2,1883	1,2					2,1883	0,016					2,1883	1,76					2,1883	43,2	
			2,1884	1,2					2,1884	0,024					2,1884	1,74					2,1884	43,2	
			2,1885	1,2					2,1885	0,024					2,1885	1,76					2,1885	43,2	
			2,1886	1,2					2,1886	0,032					2,1886	1,74					2,1886	43,2	
			2,1887	1,2					2,1887	0,032					2,1887	1,74					2,1887	43,2	
			2,1888	1,2					2,1888	0,028					2,1888	1,74					2,1888	43,2	
			2,1889	1,2					2,1889	0,028					2,1889	1,74					2,1889	43,2	
			2,189	1,16					2,189	0,032					2,189	1,76					2,189	44	
			2,1891	1,2					2,1891	0,04					2,1891	1,74					2,1891	44	
			2,1892	1,2					2,1892	0,048					2,1892	1,74					2,1892	43,2	
			2,1893	1,2					2,1893	0,044					2,1893	1,74					2,1893	43,2	
			2,1894	1,2					2,1894	0,052					2,1894	1,76					2,1894	44	
			2,1895	1,2					2,1895	0,056					2,1895	1,74					2,1895	44	
			2,1896	1,2					2,1896	0,06					2,1896	1,74					2,1896	44	
			2,1897	1,2					2,1897	0,068					2,1897	1,74					2,1897	44	
			2,1898	1,2					2,1898	0,068					2,1898	1,74					2,1898	44	
			2,1899	1,2					2,1899	0,072					2,1899	1,72					2,1899	44,8	
			2,19	1,2					2,19	0,076					2,19	1,74					2,19	44	
			2,1901	1,2					2,1901	0,076					2,1901	1,72					2,1901	44,8	
			2,1902	1,16					2,1902	0,08					2,1902	1,74					2,1902	44,8	
			2,1903	1,16					2,1903	0,088					2,1903	1,74					2,1903	44,8	
			2,1904	1,2					2,1904	0,092					2,1904	1,74					2,1904	44,8	
			2,1905	1,2					2,1905	0,096					2,1905	1,74					2,1905	44,8	
			2,1906	1,2					2,1906	0,1					2,1906	1,72					2,1906	44,8	
			2,1907	1,2					2,1907	0,104					2,1907	1,74					2,1907	44,8	
			2,1908	1,16					2,1908	0,108					2,1908	1,72					2,1908	44,8	
			2,1909	1,16					2,1909	0,124					2,1909	1,74					2,1909	44,8	
			2,191	1,16					2,191	0,116					2,191	1,72					2,191	44,8	
			2,1911	1,16					2,1911	0,12					2,1911	1,74					2,1911	44,8	
			2,1912	1,16					2,1912	0,116					2,1912	1,72					2,1912	44,8	
			2,1913	1,16					2,1913	0,124					2,1913	1,7					2,1913	45,6	
			2,1914	1,16					2,1914	0,112					2,1914	1,74					2,1914	44,8	
			2,1915	1,16					2,1915	0,116					2,1915	1,72					2,1915	45,6	
			2,1916	1,16					2,1916	0,112					2,1916	1,72					2,1916	45,6	
			2,1917	1,16					2,1917	0,116					2,1917	1,72					2,1917	45,6	
			2,1918	1,16					2,1918	0,12					2,1918	1,72					2,1918	45,6	
			2,1919	1,16					2,1919	0,108					2,1919	1,7					2,1919	45,6	
			2,192	1,16					2,192	0,104					2,192	1,74					2,192	45,6	
			2,1921	1,2					2,1921	0,096					2,1921	1,7					2,1921	45,6	
			2,1922	1,12					2,1922	0,1					2,1922	1,7					2,1922	45,6	
			2,1923	1,16					2,1923	0,088					2,1923	1,72					2,1923	45,6	
			2,1924	1,12					2,1924	0,088					2,1924	1,7					2,1924	45,6	
			2,1925	1,16					2,1925	0,072					2,1925	1,7					2,1925	45,6	
			2,1926	1,16					2,1926	0,08					2,1926	1,7					2,1926	45,6	
			2,1927	1,16					2,1927	0,076					2,1927	1,7					2,1927	45,6	
			2,1928	1,12					2,1928	0,08					2,1928	1,7					2,1928	46,4	
			2,1929	1,16					2,1929	0,068					2,1929	1,68					2,1929	45,6	
			2,193	1,16					2,193	0,076					2,193	1,7					2,193	46,4	
			2,1931	1,16					2,1931	0,064					2,1931	1,7					2,1931	45,6	
			2,1932	1,16					2,1932	0,068					2,1932	1,7					2,1932	46,4	
			2,1933	1,16					2,1933	0,056					2,1933	1,7					2,1933	46,4	
			2,1934	1,16					2,1934	0,064					2,1934	1,7					2,1934	46,4	
			2,1935	1,16					2,1935	0,064					2,1935	1,7					2,1935	46,4	
			2,1936	1,16					2,1936	0,06					2,1936	1,7					2,1936	47,2	
			2,1937	1,16					2,1937	0,048					2,1937	1,68					2,1937	46,4	
			2,1938	1,16					2,1938	0,052					2,1938	1,68					2,1938	46,4	
			2,1939	1,16					2,1939	0,044					2,1939	1,68					2,1939	46,4	
			2,194	1,12					2,194	0,044					2,194	1,68					2,194	47,2	
			2,1941	1,12					2,1941	0,056					2,1941	1,68					2,1941	47,2	
			2,1942	1,16					2,1942	0,052					2,1942	1,7					2,1942	47,2	
