Record Length,2500,Points,0.0,-3.11999989,,Record Length,2500,Points,0.0,-432.000011206E-3,,Record Length,2500,Points,0.0,-632.000029087E-3,,Record Length,2500,Points,0.0,-118.4000015,
Sample Interval,1.0000000E-3,s,1.0000000E-3,-3.11999989,,Sample Interval,1.0000000E-3,s,1.0000000E-3,-432.000011206E-3,,Sample Interval,1.0000000E-3,s,1.0000000E-3,-632.000029087E-3,,Sample Interval,1.0000000E-3,s,1.0000000E-3,-118.4000015,
Trigger Point,0.0,Samples,2.0000001E-3,-3.11999989,,Trigger Point,0.0,Samples,2.0000001E-3,-432.000011206E-3,,Trigger Point,0.0,Samples,2.0000001E-3,-632.000029087E-3,,Trigger Point,0.0,Samples,2.0000001E-3,-118.4000015,
,,,3.00000003E-3,-3.11999989,,,,,3.00000003E-3,-432.000011206E-3,,,,,3.00000003E-3,-632.000029087E-3,,,,,3.00000003E-3,-118.4000015,
,,,4.00000019E-3,-3.11999989,,,,,4.00000019E-3,-432.000011206E-3,,,,,4.00000019E-3,-632.000029087E-3,,,,,4.00000019E-3,-118.4000015,
,,,5.00000035E-3,-3.11999989,,,,,5.00000035E-3,-432.000011206E-3,,,,,5.00000035E-3,-632.000029087E-3,,,,,5.00000035E-3,-118.4000015,
Source,CH1,,6.00000005E-3,-3.11999989,,Source,CH2,,6.00000005E-3,-432.000011206E-3,,Source,CH3,,6.00000005E-3,-632.000029087E-3,,Source,CH4,,6.00000005E-3,-118.4000015,
Vertical Units,Volts,,7.00000022E-3,-3.11999989,,Vertical Units,Volts,,7.00000022E-3,-432.000011206E-3,,Vertical Units,Volts,,7.00000022E-3,-632.000029087E-3,,Vertical Units,Volts,,7.00000022E-3,-118.4000015,
Vertical Scale,999.999977648E-3,,8.000000380E-3,-3.11999989,,Vertical Scale,200.00000950E-3,,8.000000380E-3,-432.000011206E-3,,Vertical Scale,200.00000950E-3,,8.000000380E-3,-632.000029087E-3,,Vertical Scale,20.0000003,,8.000000380E-3,-118.4000015,
Vertical Offset,0,,9.000000544E-3,-3.11999989,,Vertical Offset,0,,9.000000544E-3,-432.000011206E-3,,Vertical Offset,0,,9.000000544E-3,-632.000029087E-3,,Vertical Offset,0,,9.000000544E-3,-118.4000015,
Horizontal Units,s,,10.0000007E-3,-3.11999989,,Horizontal Units,s,,10.0000007E-3,-432.000011206E-3,,Horizontal Units,s,,10.0000007E-3,-632.000029087E-3,,Horizontal Units,s,,10.0000007E-3,-118.4000015,
Horizontal Scale,250.00001187E-3,,11.0000009E-3,-3.11999989,,Horizontal Scale,250.00001187E-3,,11.0000009E-3,-432.000011206E-3,,Horizontal Scale,250.00001187E-3,,11.0000009E-3,-632.000029087E-3,,Horizontal Scale,250.00001187E-3,,11.0000009E-3,-118.4000015,
Pt Fmt,Y,,12.0000001E-3,-3.11999989,,Pt Fmt,Y,,12.0000001E-3,-432.000011206E-3,,Pt Fmt,Y,,12.0000001E-3,-632.000029087E-3,,Pt Fmt,Y,,12.0000001E-3,-118.4000015,
Yzero,-2.0000000,,13.0000003E-3,-3.11999989,,Yzero,-2.96000000,,13.0000003E-3,-432.000011206E-3,,Yzero,-1.9600000,,13.0000003E-3,-632.000029087E-3,,Yzero,800.000000000E-3,,13.0000003E-3,-118.4000015,
Probe Atten,10.0000000,,14.0000004E-3,-3.11999989,,Probe Atten,10.0000000,,14.0000004E-3,-432.000011206E-3,,Probe Atten,10.0000000,,14.0000004E-3,-632.000029087E-3,,Probe Atten,10.0000000,,14.0000004E-3,-118.4000015,
,,,15.0000006E-3,-3.11999989,,,,,15.0000006E-3,-432.000011206E-3,,,,,15.0000006E-3,-632.000029087E-3,,,,,15.0000006E-3,-118.4000015,
Note,TBS 1104 - 3:28:55 PM   8/14/2018,,16.0000008E-3,-3.11999989,,Note,TBS 1104 - 3:28:55 PM   8/14/2018,,16.0000008E-3,-432.000011206E-3,,Note,TBS 1104 - 3:28:55 PM   8/14/2018,,16.0000008E-3,-632.000029087E-3,,Note,TBS 1104 - 3:28:55 PM   8/14/2018,,16.0000008E-3,-118.4000015,
,,,17.0000009E-3,-3.11999989,,,,,17.0000009E-3,-432.000011206E-3,,,,,17.0000009E-3,-632.000029087E-3,,,,,17.0000009E-3,-118.4000015,
