Record Length,2500,Points,0.0,0.0,,Record Length,2500,Points,0.0,5.59999980E-3,,Record Length,2500,Points,0.0,-102.3999974E-3,
Sample Interval,1.0000000E-3,s,1.0000000E-3,0.0,,Sample Interval,1.0000000E-3,s,1.0000000E-3,7.999999449E-3,,Sample Interval,1.0000000E-3,s,1.0000000E-3,-102.3999974E-3,
Trigger Point,0.0,Samples,2.0000001E-3,-799.999979790E-6,,Trigger Point,0.0,Samples,2.0000001E-3,1.6000000E-3,,Trigger Point,0.0,Samples,2.0000001E-3,-102.3999974E-3,
,,,3.00000003E-3,799.999979790E-6,,,,,3.00000003E-3,6.39999984E-3,,,,,3.00000003E-3,4.79999976E-3,
,,,4.00000019E-3,0.0,,,,,4.00000019E-3,7.999999449E-3,,,,,4.00000019E-3,7.19999988E-3,
,,,5.00000035E-3,-4.79999976E-3,,,,,5.00000035E-3,5.59999980E-3,,,,,5.00000035E-3,6.39999984E-3,
Source,CH1,,6.00000005E-3,-2.3999999E-3,,Source,CH2,,6.00000005E-3,6.39999984E-3,,Source,CH3,,6.00000005E-3,5.59999980E-3,
Vertical Units,Volts,,7.00000022E-3,-3.19999992E-3,,Vertical Units,Volts,,7.00000022E-3,3.19999992E-3,,Vertical Units,Volts,,7.00000022E-3,5.59999980E-3,
Vertical Scale,19.9999995E-3,,8.000000380E-3,799.999979790E-6,,Vertical Scale,19.9999995E-3,,8.000000380E-3,6.39999984E-3,,Vertical Scale,19.9999995E-3,,8.000000380E-3,4.79999976E-3,
Vertical Offset,0,,9.000000544E-3,3.19999992E-3,,Vertical Offset,0,,9.000000544E-3,4.79999976E-3,,Vertical Offset,0,,9.000000544E-3,9.599999525E-3,
Horizontal Units,s,,10.0000007E-3,-1.6000000E-3,,Horizontal Units,s,,10.0000007E-3,3.19999992E-3,,Horizontal Units,s,,10.0000007E-3,6.39999984E-3,
Horizontal Scale,250.00001187E-3,,11.0000009E-3,1.6000000E-3,,Horizontal Scale,250.00001187E-3,,11.0000009E-3,7.19999988E-3,,Horizontal Scale,250.00001187E-3,,11.0000009E-3,4.79999976E-3,
