Record Length	2500	Points	0.09356	0.06		Record Length	2500	Points	0.09356	46	
Sample Interval	4e-006	s	0.093564	0.068		Sample Interval	4e-006	s	0.093564	46	
Trigger Point	-23389.998882	Samples	0.093568	0.06		Trigger Point	-23389.998882	Samples	0.093568	46	
			0.093572	0.072					0.093572	46	
			0.093576	0.068					0.093576	46	
			0.09358	0.068					0.09358	46	
Source	CH2		0.093584	0.068		Source	CH4		0.093584	46	
Vertical Units	Volts		0.093588	0.072		Vertical Units	Volts		0.093588	46	
Vertical Scale	100.0000047E-3		0.093592	0.072		Vertical Scale	50.00000000		0.093592	46	
Vertical Offset	0		0.093596	0.072		Vertical Offset	0		0.093596	46	
Horizontal Units	s		0.0936	0.076		Horizontal Units	s		0.0936	44	
Horizontal Scale	1.000000E-3		0.093604	0.08		Horizontal Scale	1.000000E-3		0.093604	44	
Pt Fmt	Y		0.093608	0.084		Pt Fmt	Y		0.093608	46	
Yzero	-1.1200000		0.093612	0.08		Yzero	0.0		0.093612	46	
Probe Atten	10.000000		0.093616	0.084		Probe Atten	10.000000		0.093616	46	
			0.09362	0.08					0.09362	46	
Note	TBS 1104 - 3:26:08 PM   8/13/2018		0.093624	0.088		Note	TBS 1104 - 3:26:08 PM   8/13/2018		0.093624	46	
			0.093628	0.08					0.093628	46	
			0.093632	0.092					0.093632	46	
			0.093636	0.096					0.093636	46	
			0.09364	0.088					0.09364	44	
			0.093644	0.092					0.093644	44	
			0.093648	0.096					0.093648	46	
			0.093652	0.104					0.093652	44	
			0.093656	0.1					0.093656	46	
			0.09366	0.096					0.09366	46	
			0.093664	0.1					0.093664	46	
			0.093668	0.1					0.093668	44	
			0.093672	0.108					0.093672	46	
			0.093676	0.104					0.093676	44	
			0.09368	0.1					0.09368	44	
			0.093684	0.116					0.093684	44	
			0.093688	0.108					0.093688	44	
			0.093692	0.108					0.093692	44	
			0.093696	0.108					0.093696	44	
			0.0937	0.108					0.0937	46	
			0.093704	0.112					0.093704	44	
			0.093708	0.12					0.093708	46	
			0.093712	0.116					0.093712	46	
			0.093716	0.12					0.093716	44	
			0.09372	0.124					0.09372	44	
			0.093724	0.124					0.093724	46	
