    nm         	nm
1.892388e+002	1.072135e+002
1.886323e+002	1.066228e+002
1.880258e+002	1.060080e+002
1.874192e+002	1.054013e+002
1.868127e+002	1.048078e+002
1.862062e+002	1.042064e+002
1.855996e+002	1.036086e+002
1.849931e+002	1.030036e+002
1.843866e+002	1.024075e+002
1.837800e+002	1.018105e+002
1.831735e+002	1.012109e+002
1.825670e+002	1.006130e+002
1.819604e+002	1.000089e+002
1.813539e+002	9.938885e+001
1.807473e+002	9.878921e+001
1.801408e+002	9.818423e+001
1.795343e+002	9.756416e+001
1.789277e+002	9.695741e+001
1.783212e+002	9.633555e+001
1.777147e+002	9.572792e+001
1.771081e+002	9.511495e+001
1.765016e+002	9.450998e+001
1.758951e+002	9.390678e+001
1.752885e+002	9.329204e+001
1.746820e+002	9.268351e+001
1.740755e+002	9.208120e+001
1.734689e+002	9.146557e+001
1.728624e+002	9.084638e+001
1.722559e+002	9.023164e+001
1.716493e+002	8.962577e+001
1.710428e+002	8.902791e+001
1.704363e+002	8.840694e+001
1.698297e+002	8.779308e+001
1.692232e+002	8.718101e+001
1.686167e+002	8.657692e+001
1.680101e+002	8.596928e+001
1.674036e+002	8.534477e+001
1.667971e+002	8.473979e+001
1.661905e+002	8.413038e+001
1.655840e+002	8.352540e+001
1.649775e+002	8.291155e+001
1.643709e+002	8.229325e+001
1.637644e+002	8.167939e+001
1.631579e+002	8.107087e+001
1.625513e+002	8.045434e+001
1.619448e+002	7.984315e+001
1.613383e+002	7.922663e+001
1.607317e+002	7.861188e+001
1.601252e+002	7.799980e+001
1.595187e+002	7.738062e+001
1.589121e+002	7.677387e+001
1.583056e+002	7.615645e+001
1.576991e+002	7.554882e+001
1.570925e+002	7.493141e+001
1.564860e+002	7.431222e+001
1.558795e+002	7.370281e+001
1.552729e+002	7.308451e+001
1.546664e+002	7.245999e+001
1.540599e+002	7.183192e+001
1.534533e+002	7.121184e+001
1.528468e+002	7.059266e+001
1.522403e+002	6.997258e+001
1.516337e+002	6.934806e+001
1.510272e+002	6.873243e+001
1.504207e+002	6.809992e+001
1.498141e+002	6.747540e+001
1.492076e+002	6.684822e+001
1.486011e+002	6.621926e+001
1.479945e+002	6.560007e+001
1.473880e+002	6.497910e+001
1.467815e+002	6.435726e+001
1.461749e+002	6.373185e+001
1.455684e+002	6.311888e+001
1.449619e+002	6.249614e+001
1.443553e+002	6.186718e+001
1.437488e+002	6.124267e+001
1.431423e+002	6.063058e+001
1.425357e+002	6.000962e+001
1.419292e+002	5.937711e+001
1.413227e+002	5.874548e+001
1.407161e+002	5.812274e+001
1.401096e+002	5.749734e+001
1.395031e+002	5.687282e+001
1.388965e+002	5.625630e+001
1.382900e+002	5.562912e+001
1.376835e+002	5.499838e+001
1.370769e+002	5.436942e+001
1.364704e+002	5.373957e+001
1.358639e+002	5.311239e+001
1.352573e+002	5.248521e+001
1.346508e+002	5.186513e+001
1.340443e+002	5.124506e+001
1.334377e+002	5.061965e+001
1.328312e+002	4.999780e+001
1.322247e+002	4.937595e+001
1.316181e+002	4.874610e+001
1.310116e+002	4.812691e+001
1.304051e+002	4.750595e+001
1.297985e+002	4.688498e+001
1.291920e+002	4.625514e+001
1.285855e+002	4.563240e+001
1.279789e+002	4.501232e+001
1.273724e+002	4.438781e+001
1.267659e+002	4.377040e+001
1.261593e+002	4.314854e+001
1.255528e+002	4.252314e+001
1.249463e+002	4.189684e+001
1.243397e+002	4.127144e+001
1.237332e+002	4.064248e+001
1.231267e+002	4.001441e+001
1.225201e+002	3.938456e+001
1.219136e+002	3.876804e+001
1.213071e+002	3.814175e+001
1.207005e+002	3.752078e+001
1.200940e+002	3.689804e+001
1.194875e+002	3.626286e+001
1.188809e+002	3.563124e+001
1.182744e+002	3.500228e+001
1.176679e+002	3.437687e+001
1.170613e+002	3.375325e+001
1.164548e+002	3.312606e+001
1.158483e+002	3.250599e+001
1.152417e+002	3.188058e+001
1.146352e+002	3.125251e+001
1.140287e+002	3.063155e+001
1.134221e+002	3.000081e+001
1.128156e+002	2.936830e+001
1.122091e+002	2.874556e+001
1.116025e+002	2.812104e+001
1.109960e+002	2.749564e+001
1.103895e+002	2.686579e+001
1.097829e+002	2.623150e+001
1.091764e+002	2.560254e+001
1.085699e+002	2.497181e+001
1.079633e+002	2.435617e+001
1.073568e+002	2.372632e+001
1.067503e+002	2.309381e+001
1.061437e+002	2.246841e+001
1.055372e+002	2.184744e+001
1.049307e+002	2.122293e+001
1.043241e+002	2.059397e+001
1.037176e+002	1.996501e+001
1.031111e+002	1.934404e+001
1.025045e+002	1.872574e+001
1.018980e+002	1.810567e+001
1.012915e+002	1.748293e+001
1.006849e+002	1.685219e+001
1.000784e+002	1.623478e+001
9.947186e+001	1.561382e+001
9.886533e+001	1.498308e+001
9.825879e+001	1.436034e+001
9.765226e+001	1.373760e+001
9.704573e+001	1.312197e+001
9.643919e+001	1.250100e+001
9.583266e+001	1.187382e+001
9.522613e+001	1.125197e+001
9.461959e+001	1.062479e+001
9.401306e+001	1.000205e+001
9.340653e+001	9.381083e+000
9.279999e+001	8.756566e+000
9.219346e+001	8.127607e+000
9.158693e+001	7.506643e+000
9.098039e+001	6.880350e+000
9.037386e+001	6.254056e+000
8.976733e+001	5.625985e+000
8.916079e+001	5.001468e+000
8.855426e+001	4.378728e+000
8.794773e+001	3.753322e+000
8.734119e+001	3.131470e+000
8.673466e+001	2.504287e+000
8.612813e+001	1.877994e+000
8.552159e+001	1.249034e+000
8.491506e+001	6.307357e-001
8.430852e+001	8.883602e-003
8.370199e+001	-6.111918e-001
8.309546e+001	-1.226825e+000
8.248892e+001	-1.846901e+000
8.188239e+001	-2.474972e+000
8.127586e+001	-3.099489e+000
8.066932e+001	-3.721341e+000
8.006279e+001	-4.344970e+000
7.945626e+001	-4.964157e+000
7.884972e+001	-5.586009e+000
7.824319e+001	-6.204308e+000
7.763666e+001	-6.827048e+000
7.703012e+001	-7.449789e+000
7.642359e+001	-8.068088e+000
7.581706e+001	-8.696158e+000
7.521052e+001	-9.318899e+000
7.460399e+001	-9.931867e+000
7.399746e+001	-1.054661e+001
7.339092e+001	-1.116402e+001
7.278439e+001	-1.178232e+001
7.217785e+001	-1.240595e+001
7.157132e+001	-1.302425e+001
7.096479e+001	-1.364166e+001
7.035825e+001	-1.425907e+001
6.975172e+001	-1.487648e+001
6.914519e+001	-1.549389e+001
6.853865e+001	-1.610331e+001
6.793212e+001	-1.671716e+001
6.732559e+001	-1.733813e+001
6.671905e+001	-1.796087e+001
6.611252e+001	-1.857650e+001
6.550599e+001	-1.919036e+001
6.489945e+001	-1.980244e+001
6.429292e+001	-2.041896e+001
6.368639e+001	-2.103459e+001
6.307985e+001	-2.165023e+001
6.247332e+001	-2.226675e+001
6.186679e+001	-2.288416e+001
6.126025e+001	-2.350601e+001
6.065372e+001	-2.412165e+001
6.004719e+001	-2.473106e+001
5.944065e+001	-2.533870e+001
5.883411e+001	-2.595611e+001
5.822757e+001	-2.657085e+001
5.762104e+001	-2.718649e+001
5.701450e+001	-2.780212e+001
5.640796e+001	-2.841509e+001
5.580143e+001	-2.902717e+001
5.519489e+001	-2.963836e+001
5.458835e+001	-3.025399e+001
5.398181e+001	-3.086074e+001
5.337528e+001	-3.147194e+001
5.276874e+001	-3.208402e+001
5.216220e+001	-3.269254e+001
5.155567e+001	-3.329308e+001
5.094913e+001	-3.389361e+001
5.034259e+001	-3.449059e+001
4.973606e+001	-3.508401e+001
4.912952e+001	-3.567832e+001
4.852298e+001	-3.626198e+001
4.791644e+001	-3.684030e+001
4.730991e+001	-3.723029e+001
4.670337e+001	-3.603544e+001
4.609683e+001	-3.475621e+001
4.549030e+001	-3.341922e+001
4.488376e+001	-3.202272e+001
4.427722e+001	-3.056670e+001
4.367068e+001	-2.905915e+001
4.306415e+001	-2.749652e+001
4.245761e+001	-2.587260e+001
4.185107e+001	-2.418738e+001
4.124454e+001	-2.245597e+001
4.063800e+001	-2.067214e+001
4.003146e+001	-1.900913e+001
3.942493e+001	-1.887232e+001
3.881839e+001	-1.876128e+001
3.821185e+001	-1.865023e+001
3.760531e+001	-1.853652e+001
3.699878e+001	-1.842281e+001
3.639224e+001	-1.830377e+001
3.578570e+001	-1.818296e+001
3.517917e+001	-1.806036e+001
3.457263e+001	-1.793688e+001
3.396609e+001	-1.781429e+001
3.335956e+001	-1.769081e+001
3.275302e+001	-1.756821e+001
3.214648e+001	-1.744562e+001
3.153994e+001	-1.732480e+001
3.093341e+001	-1.720398e+001
3.032687e+001	-1.708672e+001
2.972033e+001	-1.696946e+001
2.911380e+001	-1.685486e+001
2.850726e+001	-1.674204e+001
2.790072e+001	-1.663099e+001
2.729418e+001	-1.652083e+001
2.668765e+001	-1.641157e+001
2.608111e+001	-1.630496e+001
2.547457e+001	-1.620014e+001
2.486804e+001	-1.609975e+001
2.426150e+001	-1.599937e+001
2.365496e+001	-1.590076e+001
2.304843e+001	-1.580393e+001
