    nm         	nm
3.033434e+001	5.361620e-002
3.023711e+001	-4.368728e-002
3.013989e+001	-1.429765e-001
3.004266e+001	-2.422658e-001
2.994543e+001	-3.365906e-001
2.984821e+001	-4.289296e-001
2.975098e+001	-5.302047e-001
2.965376e+001	-6.304868e-001
2.955653e+001	-7.248117e-001
2.945930e+001	-8.201294e-001
2.936208e+001	-9.194186e-001
2.926485e+001	-1.015729e+000
2.916763e+001	-1.113033e+000
2.907040e+001	-1.207358e+000
2.897318e+001	-1.296718e+000
2.887595e+001	-1.390050e+000
2.877873e+001	-1.488346e+000
2.868150e+001	-1.581678e+000
2.858428e+001	-1.671038e+000
2.848705e+001	-1.765363e+000
2.838983e+001	-1.865645e+000
2.829260e+001	-1.964935e+000
2.819537e+001	-2.059259e+000
2.809815e+001	-2.155570e+000
2.800092e+001	-2.253866e+000
2.790370e+001	-2.350177e+000
2.780647e+001	-2.450459e+000
2.770925e+001	-2.544784e+000
2.761202e+001	-2.633151e+000
2.751480e+001	-2.730455e+000
2.741757e+001	-2.829744e+000
2.732035e+001	-2.926055e+000
2.722312e+001	-3.017401e+000
2.712590e+001	-3.106761e+000
2.702867e+001	-3.201086e+000
2.693145e+001	-3.293425e+000
2.683422e+001	-3.384771e+000
2.673699e+001	-3.475124e+000
2.663977e+001	-3.565478e+000
2.654254e+001	-3.663774e+000
2.644532e+001	-3.763063e+000
2.634809e+001	-3.859374e+000
2.625087e+001	-3.950720e+000
2.615364e+001	-4.046038e+000
2.605642e+001	-4.146320e+000
2.595919e+001	-4.243623e+000
2.586197e+001	-4.339934e+000
2.576474e+001	-4.439223e+000
2.566752e+001	-4.539505e+000
2.557029e+001	-4.640780e+000
2.547307e+001	-4.742056e+000
2.537584e+001	-4.842338e+000
2.527861e+001	-4.943613e+000
2.518139e+001	-5.041909e+000
2.508416e+001	-5.142191e+000
2.498694e+001	-5.238502e+000
2.488971e+001	-5.331834e+000
2.479249e+001	-5.428144e+000
2.469526e+001	-5.523462e+000
2.459804e+001	-5.615801e+000
2.450081e+001	-5.708140e+000
2.440359e+001	-5.804451e+000
2.430636e+001	-5.896790e+000
2.420914e+001	-5.990122e+000
2.411191e+001	-6.083453e+000
2.401469e+001	-6.175792e+000
2.391746e+001	-6.271110e+000
2.382023e+001	-6.368414e+000
2.372301e+001	-6.467703e+000
2.362578e+001	-6.561035e+000
2.352856e+001	-6.655360e+000
2.343133e+001	-6.758620e+000
2.333411e+001	-6.856917e+000
2.323688e+001	-6.950249e+000
2.313966e+001	-7.047552e+000
2.304243e+001	-7.141877e+000
2.294521e+001	-7.234216e+000
2.284798e+001	-7.327548e+000
2.275076e+001	-7.420880e+000
2.265353e+001	-7.509247e+000
2.255631e+001	-7.598608e+000
2.245908e+001	-7.691940e+000
2.236185e+001	-7.784278e+000
2.226463e+001	-7.872646e+000
2.216740e+001	-7.962006e+000
2.207018e+001	-8.055339e+000
2.197295e+001	-8.145691e+000
2.187573e+001	-8.237038e+000
2.177850e+001	-8.330369e+000
2.168128e+001	-8.423702e+000
2.158405e+001	-8.517033e+000
2.148683e+001	-8.613344e+000
2.138960e+001	-8.709654e+000
2.129238e+001	-8.807951e+000
2.119515e+001	-8.906247e+000
2.109793e+001	-9.003551e+000
2.100070e+001	-9.099861e+000
2.090347e+001	-9.195179e+000
2.080625e+001	-9.292482e+000
2.070902e+001	-9.387801e+000
2.061180e+001	-9.483118e+000
2.051457e+001	-9.577443e+000
2.041735e+001	-9.672760e+000
2.032012e+001	-9.767085e+000
2.022290e+001	-9.858431e+000
2.012567e+001	-9.949778e+000
2.002845e+001	-1.004112e+001
1.993122e+001	-1.013148e+001
1.983400e+001	-1.022282e+001
1.973677e+001	-1.031516e+001
1.963955e+001	-1.040452e+001
1.954232e+001	-1.049785e+001
1.944509e+001	-1.059218e+001
1.934787e+001	-1.068650e+001
1.925064e+001	-1.077884e+001
1.915342e+001	-1.087416e+001
1.905619e+001	-1.096849e+001
1.895897e+001	-1.105884e+001
1.886174e+001	-1.114721e+001
1.876452e+001	-1.123756e+001
1.866729e+001	-1.132394e+001
1.857007e+001	-1.140933e+001
1.847284e+001	-1.150167e+001
1.837562e+001	-1.158606e+001
1.827839e+001	-1.166848e+001
1.818117e+001	-1.175684e+001
1.808394e+001	-1.184521e+001
1.798671e+001	-1.192464e+001
1.788949e+001	-1.200308e+001
1.779226e+001	-1.208748e+001
1.769504e+001	-1.217286e+001
1.759781e+001	-1.225329e+001
1.750059e+001	-1.233669e+001
1.740336e+001	-1.241811e+001
1.730614e+001	-1.249754e+001
1.720891e+001	-1.258293e+001
1.711169e+001	-1.266435e+001
1.701446e+001	-1.273782e+001
1.691724e+001	-1.281030e+001
1.682001e+001	-1.289172e+001
1.672278e+001	-1.296916e+001
1.662556e+001	-1.303569e+001
1.652833e+001	-1.310221e+001
1.643111e+001	-1.316973e+001
1.633388e+001	-1.323526e+001
1.623666e+001	-1.328788e+001
1.613943e+001	-1.332760e+001
1.604221e+001	-1.335937e+001
1.594498e+001	-1.338519e+001
1.584776e+001	-1.298406e+001
1.575053e+001	-1.220662e+001
1.565331e+001	-1.140437e+001
1.555608e+001	-1.058920e+001
1.545886e+001	-9.771057e+000
1.536163e+001	-8.949935e+000
1.526440e+001	-8.124841e+000
1.516718e+001	-7.292797e+000
1.506995e+001	-6.465717e+000
1.497273e+001	-5.643602e+000
1.487550e+001	-4.818508e+000
1.477828e+001	-3.989443e+000
1.468105e+001	-3.579378e+000
1.458383e+001	-3.547606e+000
1.448660e+001	-3.539662e+000
1.438938e+001	-3.533705e+000
1.429215e+001	-3.524769e+000
1.419493e+001	-3.522783e+000
1.409770e+001	-3.519805e+000
1.400048e+001	-3.510868e+000
1.390325e+001	-3.497961e+000
1.380602e+001	-3.492004e+000
1.370880e+001	-3.495975e+000
1.361157e+001	-3.499947e+000
1.351435e+001	-3.504911e+000
1.341712e+001	-3.505904e+000
1.331990e+001	-3.501933e+000
1.322267e+001	-3.506897e+000
1.312545e+001	-3.516826e+000
1.302822e+001	-3.520797e+000
1.293100e+001	-3.524769e+000
1.283377e+001	-3.526755e+000
1.273655e+001	-3.534698e+000
1.263932e+001	-3.539662e+000
1.254210e+001	-3.541648e+000
1.244487e+001	-3.544627e+000
1.234764e+001	-3.543634e+000
1.225042e+001	-3.541648e+000
1.215319e+001	-3.541648e+000
1.205597e+001	-3.537677e+000
1.195874e+001	-3.533705e+000
1.186152e+001	-3.531719e+000
1.176429e+001	-3.529733e+000
1.166707e+001	-3.530726e+000
1.156984e+001	-3.533705e+000
1.147262e+001	-3.533705e+000
1.137539e+001	-3.530726e+000
1.127817e+001	-3.528741e+000
1.118094e+001	-3.530726e+000
1.108372e+001	-3.534698e+000
1.098649e+001	-3.534698e+000
1.088926e+001	-3.539662e+000
1.079204e+001	-3.546613e+000
1.069481e+001	-3.550584e+000
1.059759e+001	-3.553563e+000
1.050036e+001	-3.560513e+000
1.040314e+001	-3.567463e+000
1.030591e+001	-3.574414e+000
1.020869e+001	-3.574414e+000
1.011146e+001	-3.568456e+000
1.001424e+001	-3.567463e+000
9.917011e+000	-3.567463e+000
9.819786e+000	-3.567463e+000
9.722561e+000	-3.560513e+000
9.625335e+000	-3.554556e+000
9.528110e+000	-3.551577e+000
9.430885e+000	-3.549591e+000
9.333659e+000	-3.542641e+000
9.236434e+000	-3.533705e+000
9.139209e+000	-3.529733e+000
9.041983e+000	-3.525762e+000
8.944758e+000	-3.525762e+000
8.847532e+000	-3.526755e+000
8.750307e+000	-3.529733e+000
8.653082e+000	-3.529733e+000
8.555856e+000	-3.530726e+000
8.458631e+000	-3.534698e+000
8.361406e+000	-3.535691e+000
8.264180e+000	-3.529733e+000
8.166955e+000	-3.530726e+000
8.069730e+000	-3.531719e+000
7.972504e+000	-3.528741e+000
7.875279e+000	-3.528741e+000
7.778054e+000	-3.530726e+000
7.680828e+000	-3.530726e+000
7.583603e+000	-3.532712e+000
7.486378e+000	-3.539662e+000
7.389152e+000	-3.537677e+000
7.291926e+000	-3.529733e+000
7.194700e+000	-3.530726e+000
7.097475e+000	-3.533705e+000
7.000249e+000	-3.530726e+000
6.903023e+000	-3.529733e+000
6.805797e+000	-3.536684e+000
6.708571e+000	-3.541648e+000
6.611346e+000	-3.543634e+000
6.514120e+000	-3.544627e+000
6.416894e+000	-3.537677e+000
6.319668e+000	-3.526755e+000
6.222443e+000	-3.520797e+000
6.125217e+000	-3.519804e+000
6.027991e+000	-3.511861e+000
5.930765e+000	-3.508883e+000
5.833539e+000	-3.511861e+000
5.736314e+000	-3.513847e+000
5.639088e+000	-3.511861e+000
5.541862e+000	-3.506897e+000
5.444636e+000	-3.505904e+000
5.347411e+000	-3.509876e+000
5.250185e+000	-3.516826e+000
5.152959e+000	-3.519805e+000
5.055733e+000	-3.525762e+000
4.958507e+000	-3.528741e+000
4.861282e+000	-3.535691e+000
4.764056e+000	-3.539662e+000
4.666830e+000	-3.534698e+000
4.569604e+000	-3.526755e+000
4.472378e+000	-3.523776e+000
4.375153e+000	-3.531719e+000
4.277927e+000	-3.533705e+000
4.180701e+000	-3.531719e+000
4.083475e+000	-3.530726e+000
3.986250e+000	-3.534698e+000
3.889024e+000	-3.532712e+000
3.791798e+000	-3.526755e+000
3.694572e+000	-3.516826e+000
3.597347e+000	-3.512854e+000
3.500121e+000	-3.519805e+000
3.402896e+000	-3.530726e+000
3.305670e+000	-3.537677e+000
3.208445e+000	-3.539662e+000
3.111219e+000	-3.545620e+000
3.013993e+000	-3.547606e+000
2.916768e+000	-3.550584e+000
2.819542e+000	-3.547606e+000
2.722317e+000	-3.543634e+000
2.625091e+000	-3.546613e+000
2.527866e+000	-3.557534e+000
2.430640e+000	-3.562499e+000
2.333415e+000	-3.558527e+000
2.236189e+000	-3.554556e+000
2.138963e+000	-3.549591e+000
2.041738e+000	-3.549591e+000
1.944512e+000	-3.543634e+000
1.847287e+000	-3.536684e+000
1.750061e+000	-3.528741e+000
1.652836e+000	-3.529733e+000
1.555610e+000	-3.537677e+000
1.458385e+000	-3.542641e+000
1.361159e+000	-3.539662e+000
1.263933e+000	-3.541648e+000
1.166708e+000	-3.550584e+000
1.069482e+000	-3.551577e+000
9.722567e-001	-3.553563e+000
8.750312e-001	-3.548599e+000
7.778056e-001	-3.552570e+000
6.805800e-001	-3.566470e+000
5.833545e-001	-3.582357e+000
4.861289e-001	-3.586328e+000
3.889033e-001	-3.586328e+000
2.916777e-001	-3.586328e+000
1.944521e-001	-3.622072e+000
9.722657e-002	-3.693561e+000
9.853229e-007	-3.669731e+000
