    kHz         	 V
2.377926e+002	3.608704e-001
2.377972e+002	3.631592e-001
2.378019e+002	3.646240e-001
2.378066e+002	3.673401e-001
2.378112e+002	3.682556e-001
2.378159e+002	3.718567e-001
2.378206e+002	3.728027e-001
2.378252e+002	3.755798e-001
2.378299e+002	3.765564e-001
2.378345e+002	3.784790e-001
2.378392e+002	3.802185e-001
2.378439e+002	3.825378e-001
2.378485e+002	3.843994e-001
2.378532e+002	3.870239e-001
2.378578e+002	3.877258e-001
2.378625e+002	3.908386e-001
2.378672e+002	3.926697e-001
2.378718e+002	3.951721e-001
2.378765e+002	3.973389e-001
2.378812e+002	3.988342e-001
2.378858e+002	4.012146e-001
2.378905e+002	4.029236e-001
2.378951e+002	4.063110e-001
2.378998e+002	4.068604e-001
2.379045e+002	4.086609e-001
2.379091e+002	4.114685e-001
2.379138e+002	4.141846e-001
2.379185e+002	4.155579e-001
2.379231e+002	4.181213e-001
2.379278e+002	4.198914e-001
2.379324e+002	4.219360e-001
2.379371e+002	4.237366e-001
2.379418e+002	4.257507e-001
2.379464e+002	4.283752e-001
2.379511e+002	4.292908e-001
2.379557e+002	4.318848e-001
2.379604e+002	4.339600e-001
2.379651e+002	4.359741e-001
2.379697e+002	4.388733e-001
2.379744e+002	4.402466e-001
2.379790e+002	4.422302e-001
2.379837e+002	4.439697e-001
2.379884e+002	4.458008e-001
2.379930e+002	4.476929e-001
2.379977e+002	4.497681e-001
2.380024e+002	4.512329e-001
2.380070e+002	4.537964e-001
2.380117e+002	4.552612e-001
2.380163e+002	4.575806e-001
2.380210e+002	4.597168e-001
2.380257e+002	4.607239e-001
2.380303e+002	4.624023e-001
2.380350e+002	4.645996e-001
2.380396e+002	4.661255e-001
2.380443e+002	4.679871e-001
2.380490e+002	4.692993e-001
2.380536e+002	4.712524e-001
2.380583e+002	4.726257e-001
2.380630e+002	4.736023e-001
2.380676e+002	4.755249e-001
2.380723e+002	4.772034e-001
2.380769e+002	4.782715e-001
2.380816e+002	4.795227e-001
2.380863e+002	4.797974e-001
2.380909e+002	4.819336e-001
2.380956e+002	4.825745e-001
2.381003e+002	4.839172e-001
2.381049e+002	4.851685e-001
2.381096e+002	4.866943e-001
2.381142e+002	4.877930e-001
2.381189e+002	4.885864e-001
2.381235e+002	4.897461e-001
2.381282e+002	4.901733e-001
2.381329e+002	4.904175e-001
2.381375e+002	4.916687e-001
2.381422e+002	4.923096e-001
2.381469e+002	4.931030e-001
2.381515e+002	4.936829e-001
2.381562e+002	4.940491e-001
2.381608e+002	4.949036e-001
2.381655e+002	4.956665e-001
2.381702e+002	4.948425e-001
2.381748e+002	4.958801e-001
2.381795e+002	4.963684e-001
2.381842e+002	4.966125e-001
2.381888e+002	4.963684e-001
2.381935e+002	4.969482e-001
2.381981e+002	4.970398e-001
2.382028e+002	4.963684e-001
2.382075e+002	4.970398e-001
2.382121e+002	4.964294e-001
2.382168e+002	4.959106e-001
2.382214e+002	4.962769e-001
2.382261e+002	4.954834e-001
2.382308e+002	4.955750e-001
2.382354e+002	4.948120e-001
2.382401e+002	4.954529e-001
2.382448e+002	4.941711e-001
2.382494e+002	4.934692e-001
2.382541e+002	4.938354e-001
2.382587e+002	4.927368e-001
2.382634e+002	4.915771e-001
2.382681e+002	4.903870e-001
2.382727e+002	4.903259e-001
2.382774e+002	4.884033e-001
2.382820e+002	4.884033e-001
2.382867e+002	4.873352e-001
2.382914e+002	4.858093e-001
2.382960e+002	4.855957e-001
2.383007e+002	4.847107e-001
2.383053e+002	4.831238e-001
2.383100e+002	4.830933e-001
2.383147e+002	4.808655e-001
2.383193e+002	4.791870e-001
2.383240e+002	4.780579e-001
2.383287e+002	4.771118e-001
2.383333e+002	4.761658e-001
2.383380e+002	4.744263e-001
2.383426e+002	4.734497e-001
2.383473e+002	4.712219e-001
2.383520e+002	4.709167e-001
2.383566e+002	4.686279e-001
2.383613e+002	4.677429e-001
2.383659e+002	4.649353e-001
2.383706e+002	4.642639e-001
2.383753e+002	4.634094e-001
2.383799e+002	4.615784e-001
2.383846e+002	4.602966e-001
2.383893e+002	4.584045e-001
2.383939e+002	4.570007e-001
2.383986e+002	4.549561e-001
2.384032e+002	4.536133e-001
2.384079e+002	4.512634e-001
2.384126e+002	4.496155e-001
2.384172e+002	4.476318e-001
2.384219e+002	4.467468e-001
2.384265e+002	4.450684e-001
2.384312e+002	4.431152e-001
2.384359e+002	4.418640e-001
2.384405e+002	4.401855e-001
2.384452e+002	4.373474e-001
2.384498e+002	4.352417e-001
2.384545e+002	4.331055e-001
2.384592e+002	4.318848e-001
2.384638e+002	4.297180e-001
2.384685e+002	4.275513e-001
2.384732e+002	4.260559e-001
2.384778e+002	4.241943e-001
2.384825e+002	4.232178e-001
2.384871e+002	4.206848e-001
2.384918e+002	4.186096e-001
2.384965e+002	4.170227e-001
2.385011e+002	4.154053e-001
2.385058e+002	4.134521e-001
2.385105e+002	4.109497e-001
2.385151e+002	4.088135e-001
2.385198e+002	4.074097e-001
2.385244e+002	4.051514e-001
2.385291e+002	4.035339e-001
2.385338e+002	4.014587e-001
2.385384e+002	4.001770e-001
2.385431e+002	3.981628e-001
2.385477e+002	3.956604e-001
2.385524e+002	3.938599e-001
2.385571e+002	3.928528e-001
2.385617e+002	3.902893e-001
2.385664e+002	3.886108e-001
2.385710e+002	3.865356e-001
2.385757e+002	3.846130e-001
2.385804e+002	3.831482e-001
2.385850e+002	3.811951e-001
2.385897e+002	3.792114e-001
2.385944e+002	3.775024e-001
2.385990e+002	3.758850e-001
2.386037e+002	3.737183e-001
2.386083e+002	3.725891e-001
2.386130e+002	3.704224e-001
2.386177e+002	3.679199e-001
2.386223e+002	3.667908e-001
2.386270e+002	3.651123e-001
2.386316e+002	3.627625e-001
2.386363e+002	3.604431e-001
2.386410e+002	3.588562e-001
2.386456e+002	3.558350e-001
2.386503e+002	3.554688e-001
2.386550e+002	3.537598e-001
2.386596e+002	3.524780e-001
2.386643e+002	3.501587e-001
2.386689e+002	3.485413e-001
2.386736e+002	3.469849e-001
2.386783e+002	3.455811e-001
2.386829e+002	3.438416e-001
2.386876e+002	3.413696e-001
2.386923e+002	3.401489e-001
2.386969e+002	3.377380e-001
2.387016e+002	3.367615e-001
2.387062e+002	3.345947e-001
2.387109e+002	3.333130e-001
2.387155e+002	3.310242e-001
2.387202e+002	3.296509e-001
2.387249e+002	3.284607e-001
2.387295e+002	3.264465e-001
2.387342e+002	3.251038e-001
2.387389e+002	3.233643e-001
2.387435e+002	3.204956e-001
2.387482e+002	3.193970e-001
2.387528e+002	3.194885e-001
2.387575e+002	3.160706e-001
2.387622e+002	3.147583e-001
2.387668e+002	3.133240e-001
2.387715e+002	3.122253e-001
2.387762e+002	3.105774e-001
2.387808e+002	3.085327e-001
2.387855e+002	3.074646e-001
2.387901e+002	3.067017e-001
2.387948e+002	3.045654e-001
2.387995e+002	3.033752e-001
2.388041e+002	3.015137e-001
2.388088e+002	2.994385e-001
2.388134e+002	2.974548e-001
2.388181e+002	2.971497e-001
2.388228e+002	2.960205e-001
2.388274e+002	2.944031e-001
2.388321e+002	2.925110e-001
2.388367e+002	2.909241e-001
2.388414e+002	2.893372e-001
2.388461e+002	2.880859e-001
2.388507e+002	2.863464e-001
2.388554e+002	2.856140e-001
2.388601e+002	2.840576e-001
2.388647e+002	2.828979e-001
2.388694e+002	2.816772e-001
2.388740e+002	2.801208e-001
2.388787e+002	2.788391e-001
2.388834e+002	2.784424e-001
2.388880e+002	2.769775e-001
2.388927e+002	2.752991e-001
2.388973e+002	2.739563e-001
2.389020e+002	2.713928e-001
2.389067e+002	2.714844e-001
2.389113e+002	2.701111e-001
2.389160e+002	2.691345e-001
2.389207e+002	2.673340e-001
2.389253e+002	2.666321e-001
2.389300e+002	2.650146e-001
2.389346e+002	2.637939e-001
2.389393e+002	2.621765e-001
2.389440e+002	2.618713e-001
2.389486e+002	2.606201e-001
2.389533e+002	2.601013e-001
2.389579e+002	2.584839e-001
2.389626e+002	2.575989e-001
2.389673e+002	2.559509e-001
2.389719e+002	2.554626e-001
2.389766e+002	2.548828e-001
2.389813e+002	2.526245e-001
2.389859e+002	2.522278e-001
2.389906e+002	2.507935e-001
2.389952e+002	2.501221e-001
2.389999e+002	2.491760e-001
2.390046e+002	2.473450e-001
2.390092e+002	2.462463e-001
2.390139e+002	2.466431e-001
2.390185e+002	2.452698e-001
2.390232e+002	2.444763e-001
2.390279e+002	2.431946e-001
2.390325e+002	2.427368e-001
2.390372e+002	2.413025e-001
2.390418e+002	2.406311e-001
2.390465e+002	2.398376e-001
2.390512e+002	2.381287e-001
2.390558e+002	2.383118e-001
2.390605e+002	2.366028e-001
2.390652e+002	2.358704e-001
2.390698e+002	2.360840e-001
2.390745e+002	2.342834e-001
2.390791e+002	2.332458e-001
2.390838e+002	2.331543e-001
2.390885e+002	2.324829e-001
2.390931e+002	2.318420e-001
2.390978e+002	2.308350e-001
2.391025e+002	2.300415e-001
2.391071e+002	2.298584e-001
2.391118e+002	2.285156e-001
2.391164e+002	2.286987e-001
2.391211e+002	2.277832e-001
2.391258e+002	2.265320e-001
2.391304e+002	2.257385e-001
2.391351e+002	2.258301e-001
2.391397e+002	2.257690e-001
2.391444e+002	2.242737e-001
2.391491e+002	2.232666e-001
2.391537e+002	2.236328e-001
2.391584e+002	2.220154e-001
2.391630e+002	2.219543e-001
2.391677e+002	2.210999e-001
2.391724e+002	2.208862e-001
2.391770e+002	2.201538e-001
2.391817e+002	2.202759e-001
2.391864e+002	2.188110e-001
2.391910e+002	2.182312e-001
2.391957e+002	2.186279e-001
2.392003e+002	2.177429e-001
2.392050e+002	2.174377e-001
2.392097e+002	2.166443e-001
2.392143e+002	2.163696e-001
2.392190e+002	2.155151e-001
2.392236e+002	2.161255e-001
2.392283e+002	2.153015e-001
2.392330e+002	2.148438e-001
2.392376e+002	2.141113e-001
2.392423e+002	2.146912e-001
2.392470e+002	2.131958e-001
