    kHz         	 V
2.378574e+002	3.485718e-001
2.378620e+002	3.498840e-001
2.378667e+002	3.532104e-001
2.378714e+002	3.543396e-001
2.378760e+002	3.565063e-001
2.378807e+002	3.579712e-001
2.378853e+002	3.606567e-001
2.378900e+002	3.628235e-001
2.378947e+002	3.648376e-001
2.378993e+002	3.672485e-001
2.379040e+002	3.691101e-001
2.379087e+002	3.717041e-001
2.379133e+002	3.737183e-001
2.379180e+002	3.758850e-001
2.379226e+002	3.784790e-001
2.379273e+002	3.812866e-001
2.379320e+002	3.830566e-001
2.379366e+002	3.848572e-001
2.379413e+002	3.876648e-001
2.379460e+002	3.900757e-001
2.379506e+002	3.917542e-001
2.379553e+002	3.946533e-001
2.379599e+002	3.977661e-001
2.379646e+002	3.998718e-001
2.379693e+002	4.026794e-001
2.379739e+002	4.042969e-001
2.379786e+002	4.069214e-001
2.379833e+002	4.101257e-001
2.379879e+002	4.126892e-001
2.379926e+002	4.147339e-001
2.379972e+002	4.170532e-001
2.380019e+002	4.190369e-001
2.380066e+002	4.224548e-001
2.380112e+002	4.258118e-001
2.380159e+002	4.270325e-001
2.380205e+002	4.308472e-001
2.380252e+002	4.330750e-001
2.380299e+002	4.353333e-001
2.380345e+002	4.380798e-001
2.380392e+002	4.408875e-001
2.380439e+002	4.426270e-001
2.380485e+002	4.451294e-001
2.380532e+002	4.475403e-001
2.380578e+002	4.512634e-001
2.380625e+002	4.534607e-001
2.380672e+002	4.562073e-001
2.380718e+002	4.576111e-001
2.380765e+002	4.603882e-001
2.380812e+002	4.627380e-001
2.380858e+002	4.649048e-001
2.380905e+002	4.670715e-001
2.380951e+002	4.694519e-001
2.380998e+002	4.718933e-001
2.381045e+002	4.743347e-001
2.381091e+002	4.769592e-001
2.381138e+002	4.788513e-001
2.381184e+002	4.808655e-001
2.381231e+002	4.820557e-001
2.381278e+002	4.851379e-001
2.381324e+002	4.871216e-001
2.381371e+002	4.884644e-001
2.381418e+002	4.908142e-001
2.381464e+002	4.923401e-001
2.381511e+002	4.938965e-001
2.381557e+002	4.961243e-001
2.381604e+002	4.964905e-001
2.381651e+002	4.976501e-001
