    µm         	nm
3.190703e+000	-4.044011e+001
3.207150e+000	-3.381315e+001
3.223597e+000	-2.102886e+001
3.240044e+000	4.331005e+000
3.256491e+000	7.253129e+000
3.272938e+000	5.635525e+000
3.289385e+000	1.314956e+001
3.305832e+000	1.899381e+001
3.322279e+000	2.191593e+001
3.338725e+000	3.104757e+001
3.355173e+000	3.767453e+001
3.371619e+000	4.090974e+001
3.388066e+000	4.252734e+001
3.404513e+000	4.226644e+001
3.420960e+000	4.007484e+001
3.437407e+000	3.637001e+001
3.453854e+000	3.104757e+001
3.470301e+000	2.781236e+001
3.486748e+000	2.718619e+001
3.503195e+000	2.723837e+001
3.519642e+000	2.822981e+001
3.536089e+000	2.911688e+001
3.552536e+000	2.989959e+001
3.568982e+000	3.109975e+001
3.585429e+000	3.136065e+001
3.601876e+000	3.203900e+001
3.618323e+000	3.256081e+001
3.634770e+000	3.381315e+001
3.651217e+000	3.417842e+001
3.667664e+000	3.402187e+001
3.684111e+000	3.506549e+001
3.700558e+000	3.485676e+001
3.717005e+000	3.485676e+001
3.733452e+000	3.480459e+001
3.749899e+000	3.532639e+001
3.766346e+000	3.470022e+001
3.782792e+000	3.454368e+001
3.799239e+000	3.438714e+001
3.815686e+000	3.423060e+001
3.832133e+000	3.407405e+001
3.848580e+000	3.386533e+001
3.865027e+000	3.407405e+001
3.881474e+000	3.423060e+001
3.897921e+000	3.428278e+001
3.914368e+000	3.417842e+001
3.930815e+000	3.480459e+001
3.947262e+000	3.423060e+001
3.963708e+000	3.381315e+001
3.980156e+000	3.365661e+001
3.996603e+000	3.386533e+001
4.013049e+000	3.417842e+001
4.029496e+000	3.402187e+001
4.045943e+000	3.350006e+001
4.062390e+000	3.454368e+001
4.078837e+000	3.459586e+001
4.095284e+000	3.449150e+001
4.111731e+000	3.381315e+001
4.128178e+000	3.412623e+001
4.144625e+000	3.438714e+001
4.161072e+000	3.417842e+001
4.177519e+000	3.423060e+001
4.193966e+000	3.459586e+001
4.210412e+000	3.438714e+001
4.226859e+000	3.402187e+001
4.243306e+000	3.433496e+001
4.259753e+000	3.532639e+001
4.276200e+000	3.470022e+001
4.292647e+000	3.475240e+001
4.309094e+000	3.501331e+001
4.325541e+000	3.433496e+001
4.341988e+000	3.407405e+001
4.358435e+000	3.443932e+001
4.374882e+000	3.464804e+001
4.391329e+000	3.433496e+001
4.407776e+000	3.402187e+001
4.424222e+000	3.438714e+001
4.440669e+000	3.402187e+001
4.457117e+000	3.433496e+001
4.473563e+000	3.511767e+001
4.490010e+000	3.443932e+001
4.506457e+000	3.485676e+001
4.522904e+000	3.454368e+001
4.539351e+000	3.370879e+001
4.555798e+000	3.381315e+001
4.572245e+000	3.470022e+001
4.588692e+000	3.470022e+001
4.605139e+000	3.396969e+001
4.621586e+000	3.548293e+001
4.638032e+000	3.788325e+001
4.654480e+000	3.856160e+001
4.670927e+000	3.788325e+001
4.687373e+000	3.616129e+001
4.703820e+000	3.417842e+001
4.720267e+000	3.407405e+001
4.736714e+000	3.438714e+001
4.753161e+000	3.423060e+001
4.769608e+000	3.402187e+001
4.786055e+000	3.454368e+001
4.802502e+000	3.433496e+001
4.818949e+000	3.407405e+001
4.835395e+000	3.412623e+001
4.851843e+000	3.381315e+001
4.868290e+000	3.402187e+001
4.884736e+000	3.454368e+001
4.901183e+000	3.438714e+001
4.917630e+000	3.386533e+001
4.934077e+000	3.412623e+001
4.950524e+000	3.423060e+001
4.966971e+000	3.438714e+001
4.983418e+000	3.438714e+001
4.999865e+000	3.428278e+001
5.016312e+000	3.423060e+001
5.032759e+000	3.339570e+001
5.049206e+000	3.089103e+001
5.065653e+000	2.708183e+001
5.082100e+000	2.113322e+001
5.098546e+000	1.262775e+001
5.114993e+000	5.948610e+000
5.131440e+000	1.200158e+000
5.147887e+000	-4.174463e-001
5.164334e+000	-1.669785e+000
5.180781e+000	-2.869943e+000
5.197228e+000	-4.748451e+000
5.213675e+000	-8.505468e+000
5.230122e+000	-1.294084e+001
5.246569e+000	-1.784583e+001
5.263016e+000	-2.290736e+001
5.279463e+000	-3.016050e+001
5.295909e+000	-3.621346e+001
5.312356e+000	-3.955304e+001
5.328803e+000	-4.137936e+001
5.345250e+000	-4.216207e+001
5.361697e+000	-4.278824e+001
5.378144e+000	-4.257952e+001
5.394591e+000	-4.164027e+001
5.411038e+000	-4.226644e+001
5.427485e+000	-4.200554e+001
5.443932e+000	-4.758888e+001
5.460379e+000	-5.891211e+001
5.476826e+000	-6.522598e+001
5.493273e+000	-6.553907e+001
5.509719e+000	-6.585216e+001
5.526166e+000	-6.595651e+001
5.542614e+000	-6.559125e+001
5.559060e+000	-6.533035e+001
5.575507e+000	-6.543470e+001
5.591954e+000	-6.606088e+001
5.608401e+000	-6.574779e+001
5.624848e+000	-6.574779e+001
5.641295e+000	-6.559125e+001
5.657742e+000	-6.543470e+001
5.674189e+000	-6.553907e+001
5.690636e+000	-6.543470e+001
5.707082e+000	-6.517380e+001
5.723529e+000	-6.543470e+001
5.739977e+000	-6.496508e+001
5.756423e+000	-6.533035e+001
5.772870e+000	-6.522598e+001
5.789317e+000	-6.574779e+001
5.805764e+000	-6.579997e+001
5.822211e+000	-6.533035e+001
5.838658e+000	-6.522598e+001
5.855105e+000	-6.527817e+001
5.871552e+000	-6.543470e+001
5.887999e+000	-6.569561e+001
5.904446e+000	-6.543470e+001
5.920892e+000	-6.595651e+001
5.937340e+000	-6.606088e+001
5.953787e+000	-6.517380e+001
5.970233e+000	-6.480854e+001
5.986680e+000	-6.522598e+001
6.003127e+000	-6.527817e+001
6.019574e+000	-6.512162e+001
6.036021e+000	-6.486072e+001
6.052468e+000	-6.506944e+001
6.068915e+000	-6.501726e+001
6.085362e+000	-6.512162e+001
6.101809e+000	-6.517380e+001
6.118255e+000	-6.287785e+001
6.134703e+000	-6.235604e+001
6.151150e+000	-6.293003e+001
6.167596e+000	-6.491290e+001
6.184043e+000	-6.491290e+001
6.200490e+000	-6.402583e+001
6.216937e+000	-6.439109e+001
6.233384e+000	-6.407801e+001
6.249831e+000	-6.449545e+001
6.266278e+000	-6.454763e+001
6.282725e+000	-6.439109e+001
6.299172e+000	-6.392146e+001
6.315619e+000	-6.418237e+001
6.332066e+000	-6.381710e+001
6.348513e+000	-6.454763e+001
6.364960e+000	-6.428673e+001
6.381406e+000	-6.444327e+001
6.397853e+000	-6.444327e+001
6.414301e+000	-6.480854e+001
6.430747e+000	-6.501726e+001
6.447194e+000	-6.501726e+001
6.463641e+000	-6.512162e+001
6.480088e+000	-6.522598e+001
6.496535e+000	-6.491290e+001
6.512982e+000	-6.449545e+001
6.529429e+000	-6.449545e+001
6.545876e+000	-6.480854e+001
6.562323e+000	-6.433891e+001
6.578769e+000	-6.444327e+001
6.595216e+000	-6.026881e+001
6.611664e+000	-5.009355e+001
6.628110e+000	-4.278824e+001
6.644557e+000	-3.730926e+001
6.661004e+000	-3.459586e+001
6.677451e+000	-3.370879e+001
6.693898e+000	-2.890816e+001
6.710345e+000	-8.662011e+000
6.726792e+000	1.252339e+000
6.743239e+000	5.113717e+000
6.759686e+000	8.296746e+000
6.776133e+000	1.925471e+001
6.792579e+000	2.113322e+001
6.809027e+000	2.389880e+001
6.825474e+000	2.969087e+001
6.841920e+000	3.350006e+001
6.858367e+000	3.563948e+001
6.874814e+000	3.610910e+001
6.891261e+000	3.621346e+001
6.907708e+000	3.558729e+001
6.924155e+000	3.616129e+001
6.940602e+000	3.595256e+001
6.957049e+000	3.590038e+001
6.973496e+000	3.610910e+001
6.989942e+000	3.652655e+001
7.006390e+000	3.631783e+001
7.022837e+000	3.673527e+001
7.039283e+000	3.543076e+001
7.055730e+000	3.511767e+001
7.072177e+000	3.527421e+001
7.088624e+000	3.532639e+001
7.105071e+000	3.527421e+001
7.121518e+000	3.563948e+001
7.137965e+000	3.600474e+001
7.154412e+000	3.548293e+001
7.170859e+000	3.558729e+001
7.187306e+000	3.584820e+001
7.203753e+000	3.584820e+001
7.220200e+000	3.616129e+001
7.236647e+000	3.532639e+001
7.253093e+000	3.470022e+001
7.269540e+000	3.522203e+001
7.285987e+000	3.511767e+001
7.302434e+000	3.490895e+001
7.318881e+000	3.490895e+001
7.335328e+000	3.449150e+001
7.351775e+000	3.449150e+001
7.368222e+000	3.496113e+001
7.384669e+000	3.496113e+001
7.401116e+000	3.501331e+001
7.417563e+000	3.485676e+001
7.434010e+000	3.527421e+001
7.450456e+000	3.527421e+001
7.466903e+000	3.621346e+001
7.483350e+000	3.584820e+001
7.499797e+000	3.579602e+001
7.516244e+000	3.532639e+001
7.532691e+000	3.501331e+001
7.549138e+000	3.511767e+001
7.565585e+000	3.579602e+001
7.582032e+000	3.569166e+001
7.598479e+000	3.569166e+001
7.614926e+000	3.501331e+001
7.631373e+000	3.490895e+001
7.647820e+000	3.548293e+001
7.664266e+000	3.600474e+001
7.680714e+000	3.563948e+001
7.697160e+000	3.558729e+001
7.713607e+000	3.569166e+001
7.730054e+000	3.574384e+001
7.746501e+000	3.548293e+001
7.762948e+000	3.522203e+001
7.779395e+000	3.579602e+001
7.795842e+000	3.610910e+001
7.812288e+000	3.548293e+001
7.828736e+000	3.506549e+001
7.845183e+000	3.449150e+001
7.861629e+000	3.449150e+001
7.878077e+000	3.464804e+001
7.894523e+000	3.480459e+001
7.910970e+000	3.579602e+001
7.927417e+000	3.563948e+001
7.943864e+000	3.548293e+001
