    µm         	nm
3.174256e+000	2.421189e+001
3.190703e+000	2.556859e+001
3.207150e+000	2.588167e+001
3.223597e+000	3.412623e+001
3.240044e+000	2.515114e+001
3.256491e+000	3.016050e+001
3.272938e+000	3.042140e+001
3.289385e+000	3.464804e+001
3.305832e+000	4.315351e+001
3.322279e+000	3.292608e+001
3.338725e+000	3.522203e+001
3.355173e+000	3.803979e+001
3.371619e+000	3.637001e+001
3.388066e+000	4.158809e+001
3.404513e+000	3.083884e+001
3.420960e+000	2.948214e+001
3.437407e+000	3.939649e+001
3.453854e+000	3.339570e+001
3.470301e+000	3.381315e+001
3.486748e+000	3.198682e+001
3.503195e+000	2.843853e+001
3.519642e+000	2.849071e+001
3.536089e+000	4.164027e+001
3.552536e+000	2.916906e+001
3.568982e+000	3.052576e+001
3.585429e+000	3.689182e+001
3.601876e+000	2.969087e+001
3.618323e+000	3.522203e+001
3.634770e+000	3.365661e+001
3.651217e+000	2.963869e+001
3.667664e+000	3.282171e+001
3.684111e+000	3.777889e+001
3.700558e+000	2.969087e+001
3.717005e+000	3.454368e+001
3.733452e+000	2.802108e+001
3.749899e+000	3.313480e+001
3.766346e+000	2.786454e+001
3.782792e+000	2.671656e+001
3.799239e+000	3.188246e+001
3.815686e+000	3.417842e+001
3.832133e+000	2.791672e+001
3.848580e+000	2.718619e+001
3.865027e+000	3.109975e+001
3.881474e+000	3.543076e+001
3.897921e+000	3.047358e+001
3.914368e+000	3.548293e+001
3.930815e+000	3.459586e+001
3.947262e+000	2.995177e+001
3.963708e+000	3.391751e+001
3.980156e+000	3.929213e+001
3.996603e+000	3.109975e+001
4.013049e+000	4.372750e+001
4.029496e+000	3.339570e+001
4.045943e+000	3.563948e+001
4.062390e+000	3.866596e+001
4.078837e+000	3.031704e+001
4.095284e+000	3.188246e+001
4.111731e+000	3.751799e+001
4.128178e+000	3.172592e+001
4.144625e+000	3.172592e+001
4.161072e+000	2.880379e+001
4.177519e+000	3.428278e+001
4.193966e+000	3.240427e+001
4.210412e+000	2.932560e+001
4.226859e+000	2.927342e+001
4.243306e+000	3.407405e+001
4.259753e+000	3.391751e+001
4.276200e+000	3.177810e+001
4.292647e+000	3.115193e+001
4.309094e+000	3.574384e+001
4.325541e+000	3.631783e+001
4.341988e+000	3.115193e+001
4.358435e+000	2.948214e+001
4.374882e+000	3.386533e+001
4.391329e+000	1.920253e+001
4.407776e+000	1.022743e+001
4.424222e+000	4.957175e+000
4.440669e+000	-4.174463e-001
4.457117e+000	-2.922124e+000
4.473563e+000	-3.548293e+000
4.490010e+000	-3.965740e+000
4.506457e+000	-8.557649e+000
4.522904e+000	-1.132323e+001
4.539351e+000	-1.560205e+001
4.555798e+000	-2.040269e+001
4.572245e+000	-2.849071e+001
4.588692e+000	-3.600474e+001
4.605139e+000	-4.148373e+001
4.621586e+000	-4.044011e+001
4.638032e+000	-4.393622e+001
4.654480e+000	-4.816287e+001
4.670927e+000	-4.847595e+001
4.687373e+000	-4.863249e+001
4.703820e+000	-4.837159e+001
4.720267e+000	-4.868467e+001
4.736714e+000	-4.858031e+001
4.753161e+000	-5.160680e+001
4.769608e+000	-6.501726e+001
4.786055e+000	-5.708578e+001
4.802502e+000	-6.642614e+001
4.818949e+000	-6.475636e+001
4.835395e+000	-5.985136e+001
4.851843e+000	-6.413018e+001
4.868290e+000	-6.282567e+001
4.884736e+000	-6.219950e+001
4.901183e+000	-6.611306e+001
4.917630e+000	-6.600870e+001
4.934077e+000	-6.428673e+001
4.950524e+000	-6.110370e+001
4.966971e+000	-6.679141e+001
4.983418e+000	-6.444327e+001
4.999865e+000	-6.402583e+001
5.016312e+000	-6.293003e+001
5.032759e+000	-6.120806e+001
5.049206e+000	-6.381710e+001
5.065653e+000	-5.515509e+001
5.082100e+000	-5.964264e+001
5.098546e+000	-6.303439e+001
5.114993e+000	-5.687706e+001
5.131440e+000	-6.084279e+001
5.147887e+000	-6.162551e+001
5.164334e+000	-6.548689e+001
5.180781e+000	-5.985136e+001
5.197228e+000	-6.225168e+001
5.213675e+000	-6.256477e+001
5.230122e+000	-5.959046e+001
5.246569e+000	-6.042535e+001
5.263016e+000	-6.324311e+001
5.279463e+000	-5.259823e+001
5.295909e+000	-6.298221e+001
5.312356e+000	-6.277349e+001
5.328803e+000	-5.557254e+001
5.345250e+000	-5.703360e+001
5.361697e+000	-6.152115e+001
5.378144e+000	-5.437238e+001
5.394591e+000	-5.990354e+001
5.411038e+000	-6.162551e+001
5.427485e+000	-6.501726e+001
5.443932e+000	-5.635525e+001
5.460379e+000	-5.938174e+001
5.476826e+000	-6.146897e+001
5.493273e+000	-5.124153e+001
5.509719e+000	-5.703360e+001
5.526166e+000	-5.807722e+001
5.542614e+000	-5.760759e+001
5.559060e+000	-5.776413e+001
5.575507e+000	-5.771195e+001
5.591954e+000	-5.755541e+001
5.608401e+000	-5.875557e+001
5.624848e+000	-5.447674e+001
5.641295e+000	-6.246040e+001
5.657742e+000	-6.329530e+001
5.674189e+000	-5.995572e+001
5.690636e+000	-6.052971e+001
5.707082e+000	-5.985136e+001
5.723529e+000	-5.922519e+001
5.739977e+000	-4.675399e+001
5.756423e+000	-5.849466e+001
5.772870e+000	-4.430149e+001
5.789317e+000	-5.645961e+001
5.805764e+000	-4.972829e+001
5.822211e+000	-5.238951e+001
5.838658e+000	-5.656397e+001
5.855105e+000	-5.202424e+001
5.871552e+000	-5.578126e+001
5.887999e+000	-4.805850e+001
5.904446e+000	-4.764106e+001
5.920892e+000	-4.576255e+001
5.937340e+000	-4.289261e+001
5.953787e+000	-3.329134e+001
5.970233e+000	-2.989959e+001
5.986680e+000	-3.266517e+001
6.003127e+000	-1.513243e+001
6.019574e+000	1.095797e+000
6.036021e+000	7.514033e+000
6.052468e+000	1.033180e+001
6.068915e+000	1.821109e+001
6.085362e+000	2.462933e+001
6.101809e+000	2.948214e+001
6.118255e+000	4.409276e+001
6.134703e+000	4.190117e+001
6.151150e+000	4.456239e+001
6.167596e+000	5.379839e+001
6.184043e+000	5.145026e+001
6.200490e+000	4.753670e+001
6.216937e+000	5.974700e+001
6.233384e+000	4.414495e+001
6.249831e+000	4.445803e+001
6.266278e+000	4.571037e+001
6.282725e+000	4.190117e+001
6.299172e+000	4.195335e+001
6.315619e+000	4.456239e+001
6.332066e+000	4.711925e+001
6.348513e+000	4.237080e+001
6.364960e+000	4.127500e+001
6.381406e+000	4.273607e+001
6.397853e+000	4.691053e+001
6.414301e+000	5.212861e+001
6.430747e+000	4.315351e+001
6.447194e+000	4.424931e+001
6.463641e+000	5.098063e+001
6.480088e+000	4.226644e+001
6.496535e+000	4.179681e+001
6.512982e+000	4.289261e+001
6.529429e+000	4.127500e+001
6.545876e+000	4.304915e+001
6.562323e+000	4.784978e+001
6.578769e+000	4.430149e+001
6.595216e+000	4.310133e+001
6.611664e+000	5.019792e+001
6.628110e+000	4.263170e+001
6.644557e+000	4.586691e+001
6.661004e+000	4.393622e+001
6.677451e+000	4.931085e+001
6.693898e+000	4.774542e+001
6.710345e+000	4.393622e+001
6.726792e+000	4.581473e+001
6.743239e+000	4.847595e+001
6.759686e+000	4.477112e+001
6.776133e+000	4.388404e+001
6.792579e+000	4.466675e+001
6.809027e+000	5.249387e+001
6.825474e+000	4.847595e+001
6.841920e+000	4.555383e+001
6.858367e+000	5.484201e+001
6.874814e+000	4.644090e+001
6.891261e+000	4.466675e+001
6.907708e+000	4.513638e+001
6.924155e+000	5.238951e+001
6.940602e+000	4.805850e+001
6.957049e+000	4.628436e+001
6.973496e+000	5.306786e+001
6.989942e+000	5.061536e+001
7.006390e+000	4.586691e+001
7.022837e+000	4.649308e+001
7.039283e+000	5.698142e+001
7.055730e+000	4.633654e+001
7.072177e+000	4.889340e+001
7.088624e+000	5.374621e+001
7.105071e+000	4.837159e+001
7.121518e+000	5.103281e+001
7.137965e+000	5.306786e+001
7.154412e+000	4.581473e+001
7.170859e+000	4.571037e+001
7.187306e+000	4.826723e+001
7.203753e+000	5.552036e+001
7.220200e+000	4.738015e+001
7.236647e+000	5.077191e+001
7.253093e+000	5.338094e+001
7.269540e+000	4.889340e+001
7.285987e+000	5.447674e+001
7.302434e+000	4.946738e+001
7.318881e+000	4.790196e+001
7.335328e+000	4.738015e+001
7.351775e+000	5.546818e+001
7.368222e+000	5.291132e+001
7.384669e+000	4.925866e+001
7.401116e+000	5.729450e+001
7.417563e+000	5.087627e+001
7.434010e+000	4.931085e+001
7.450456e+000	6.308657e+001
7.466903e+000	4.758888e+001
7.483350e+000	4.878904e+001
7.499797e+000	5.145026e+001
7.516244e+000	5.432020e+001
7.532691e+000	5.019792e+001
7.549138e+000	4.998919e+001
7.565585e+000	5.865120e+001
7.582032e+000	5.129371e+001
7.598479e+000	5.458110e+001
7.614926e+000	5.713796e+001
7.631373e+000	5.113717e+001
7.647820e+000	6.256477e+001
7.664266e+000	5.557254e+001
7.680714e+000	5.541600e+001
7.697160e+000	6.058190e+001
7.713607e+000	5.317222e+001
7.730054e+000	6.684359e+001
7.746501e+000	5.729450e+001
7.762948e+000	6.538252e+001
7.779395e+000	5.734669e+001
7.795842e+000	5.515509e+001
7.812288e+000	5.598998e+001
7.828736e+000	4.289261e+001
7.845183e+000	4.404058e+001
7.861629e+000	3.376097e+001
7.878077e+000	2.311609e+001
7.894523e+000	1.779365e+001
7.910970e+000	1.612386e+001
7.927417e+000	2.082013e+001
7.943864e+000	1.372355e+001
7.960311e+000	9.757807e+000
7.976758e+000	6.366056e+000
7.993205e+000	3.913559e+000
8.009652e+000	6.731321e+000
8.026099e+000	-2.087231e+000
8.042546e+000	-7.096587e+000
8.058993e+000	-9.131638e+000
8.075440e+000	-1.836764e+001
8.091886e+000	-2.217683e+001
8.108334e+000	-2.525550e+001
8.124780e+000	-2.885598e+001
8.141227e+000	-2.864725e+001
8.157675e+000	-2.723837e+001
