Record Length,2500,Points,193.00000370E-3,131.9999993E-3,
Sample Interval,19.9999995E-6,s,193.02000105E-3,136.0000074E-3,
Trigger Point,-9.650000887E3,Samples,193.03999841E-3,136.0000074E-3,
,,,193.06001067E-3,128.0000061E-3,
,,,193.08000803E-3,131.9999993E-3,
,,,193.10000539E-3,126.0000020E-3,
Source,CH2,,193.12000275E-3,130.0000101E-3,
Vertical Units,Volts,,193.14000010E-3,131.9999993E-3,
Vertical Scale,50.00000237E-3,,193.15999746E-3,131.9999993E-3,
Vertical Offset,0,,193.18000972E-3,128.0000061E-3,
Horizontal Units,s,,193.20000708E-3,128.0000061E-3,
Horizontal Scale,4.99999987E-3,,193.22000444E-3,118.0000082E-3,
Pt Fmt,Y,,193.24000180E-3,126.0000020E-3,
Yzero,-1.1200000,,193.25999916E-3,128.0000061E-3,
Probe Atten,10.0000000,,193.27999651E-3,114.0000075E-3,
,,,193.30000877E-3,122.0000088E-3,
Note,TBS 1104 - 5:04:59 PM   8/13/2018,,193.32000613E-3,120.0000048E-3,
,,,193.34000349E-3,122.0000088E-3,
,,,193.36000085E-3,122.0000088E-3,
,,,193.37999821E-3,116.0000041E-3,
,,,193.40001047E-3,116.0000041E-3,
,,,193.42000782E-3,118.0000082E-3,
,,,193.44000518E-3,118.0000082E-3,
,,,193.46000254E-3,112.0000035E-3,
,,,193.47999990E-3,112.0000035E-3,
,,,193.49999726E-3,104.0000021E-3,
,,,193.52000952E-3,106.0000062E-3,
,,,193.54000688E-3,112.0000035E-3,
,,,193.56000423E-3,102.0000055E-3,
,,,193.58000159E-3,98.000004888E-3,
,,,193.59999895E-3,104.0000021E-3,
,,,193.61999631E-3,104.0000021E-3,
,,,193.64000857E-3,98.000004888E-3,
,,,193.66000593E-3,102.0000055E-3,
,,,193.68000329E-3,100.0000015E-3,
,,,193.70000064E-3,104.0000021E-3,
,,,193.71999800E-3,112.0000035E-3,
,,,193.74001026E-3,102.0000055E-3,
,,,193.76000762E-3,96.000000834E-3,
,,,193.78000498E-3,98.000004888E-3,
,,,193.80000234E-3,96.000000834E-3,
,,,193.81999969E-3,98.000004888E-3,
,,,193.83999705E-3,98.000004888E-3,
,,,193.86000931E-3,106.0000062E-3,
,,,193.88000667E-3,90.000003576E-3,
,,,193.90000403E-3,100.0000015E-3,
,,,193.92000139E-3,90.000003576E-3,
,,,193.93999875E-3,88.000006974E-3,
,,,193.96001101E-3,98.000004888E-3,
,,,193.98000836E-3,96.000000834E-3,
,,,194.00000572E-3,98.000004888E-3,
,,,194.02000308E-3,88.000006974E-3,
,,,194.04000044E-3,86.000002921E-3,
,,,194.05999780E-3,98.000004888E-3,
,,,194.08001006E-3,102.0000055E-3,
,,,194.10000741E-3,84.000006318E-3,
,,,194.12000477E-3,90.000003576E-3,
,,,194.14000213E-3,86.000002921E-3,
,,,194.15999949E-3,86.000002921E-3,
,,,194.17999685E-3,90.000003576E-3,
,,,194.20000911E-3,96.000000834E-3,
